,Nakuru,Meru
0,6.0861772101302805,5.90073795790374
1,6.070589328954531,6.018563318775577
2,6.048216372222951,5.945009930296401
3,5.695959788303839,5.937330373950593
4,5.643533178408144,5.634288120264093
5,5.604576828017877,5.533765360894449
6,5.580056648749709,5.5816893021735945
7,5.586206400697214,5.586206400697214
8,5.586102681801939,5.5885506634405795
9,5.564456449870527,5.552661873377691
10,5.5087486184721275,5.553816903873834
11,5.473799979964453,5.551577681007138
12,5.433670941785395,5.517815618292949
13,5.339125632083037,5.475790186539596
14,5.332551805827794,5.4320373570426
15,5.350815571296197,5.498531598912676
16,5.426257271415242,5.491735200794748
17,5.410063811885231,5.423259102304064
18,5.423781289056337,5.385897971154036
19,5.4168885937867035,5.164511466149675
20,5.393311309781967,5.160193797845806
21,5.289446512509814,5.155915119885291
22,5.290854167616759,5.158209693010464
23,5.245922320260343,5.197347650111786
24,5.246063728676035,5.201808719671995
25,5.246206386990925,5.178765106195391
26,5.250681649034091,5.206229886463256
27,5.2551770291148285,5.210725266543995
28,5.253633929870541,5.209182167299708
29,5.1110644082748955,5.112331265738146
30,4.944734399021936,5.001892812861884
31,4.974367675017009,4.9968405308690675
32,4.770705457689668,5.103675063759679
33,4.774698486024049,5.105158680488635
34,4.942652777816686,5.201825792710114
35,4.943553796049248,5.2582349546524645
36,4.969441148143281,5.311644059473479
37,4.966182569007144,5.308385480337343
38,4.964441716532711,5.3505638617977445
39,4.964400760782645,5.29159019089933
40,4.964359803355138,5.2289194583860645
41,4.977299155326217,5.098820513093208
42,5.029581255816146,5.040107668803134
43,5.024600454870633,5.032484858394782
44,5.0745894979804085,5.023296203592858
45,5.333029920737425,5.33110499232784
46,5.650562213585073,5.399845335366764
47,5.628563741176636,5.472042830327415
48,5.609369920403274,5.46671362000175
49,5.633051512271211,5.468043987544671
50,5.538790733771096,5.456538002545213
51,5.434711325991516,5.4817455174944145
52,5.687858267239304,5.506333205907609
53,5.72207068925438,5.6224229125033105
54,5.718744201204467,5.726426697376483
55,5.528957886370207,5.696791260962384
56,5.500547027052287,5.666250672617582
57,5.461518757151466,5.664594745414867
58,5.458524012339249,5.665645859122193
59,5.4654229684845435,5.664005046150279
60,5.4684175691905965,5.705149165221846
61,5.468140731362956,5.635194816026122
62,5.470192179309306,5.621338118634811
