,Nakuru,Owino
0,6.398194774497013,6.785863734730093
1,6.384698472136362,6.782920392762594
2,6.438302868526916,6.812433444848947
3,6.432925990142166,6.81666122532976
4,6.3716014051639265,6.781698478553577
5,6.386648304973945,6.804630896958932
6,6.451718963030507,6.865181079880216
7,6.4487076584972955,6.854761481672814
8,6.436726620121427,6.731512427871016
9,6.4436668044931,6.693065159941576
10,6.446450009909804,6.711959545676619
11,6.485283742095189,6.681962294716007
12,6.554696674159666,6.676617289707049
13,6.547987259052753,6.676958710145931
14,6.483603857809086,6.669579553199765
15,6.536468174366648,6.73250569688453
16,6.533368967596608,6.72413270251338
17,6.528469230097079,6.767621992926765
18,6.50932824993794,6.747918247451214
19,6.517076679684085,6.616691967556228
20,6.506506876358174,6.643105439816351
21,6.506947462931485,6.71367257311054
22,6.494855823139383,6.709005219374411
23,6.475317329493039,6.675305847059376
24,6.412670748903304,6.677944559785632
25,6.422393469463228,6.688526311269359
26,6.433268040607714,6.789634928124658
27,6.422974334594903,6.836408044213878
28,6.450679519091376,6.820345673666395
29,6.432644039765539,6.830895669900067
30,6.8491590429770435,6.848876293235224
31,6.482521733841636,6.854794478039374
32,6.414559655454889,6.798353170916925
33,6.4437583877859055,6.7891845540846925
34,6.444824767251019,6.816866714907912
35,6.441427189427153,6.844035257349273
36,6.43631017186397,6.841756325876922
37,6.450885006547106,6.836897821439705
38,6.453087884300771,6.829654908914267
39,6.454191311858216,6.853850366589606
40,6.451858171892545,6.849756700969181
41,6.453013202388689,6.757807827177755
42,6.416217016430829,6.76015492002685
43,6.532283230453505,6.791068923412794
44,6.520031071425579,6.786246224673918
45,6.503776627459613,6.79121031440766
46,6.434348753137186,6.779138454451733
47,6.380900786401212,6.7576686534123604
48,6.536741553451624,6.757639184479301
49,6.529801019002309,6.754222657587084
50,6.5278163090448675,6.747703532595385
51,6.521109153343616,6.743758663329377
52,7.183436604386768,6.86693289658317
53,7.1907652847224615,6.864996435711017
54,7.183174406572542,6.8575456956748635
55,7.187014165146625,6.880288890733101
56,7.120013242144894,6.836374624684397
57,7.123612710625074,6.749535613786933
58,7.130773010700321,6.713384551210295
59,7.126805802875904,6.716524247478587
60,7.1228227936051365,6.703920200722496
61,7.116770678167922,6.716058448687252
62,7.161237632979397,6.709428704165631
63,7.2446459797014136,6.797002457317225
64,7.243769219687977,6.800158323315804
65,7.035867321711047,6.787015970707526
66,7.072326129377245,6.789886520337739
67,7.206165137455979,6.56367290033826
68,7.171202387748887,6.594939580727151
69,7.166682279178047,6.6302377046216385
70,7.153405844266326,6.641552832590525
71,7.148856416048117,6.692003384699462
72,7.141065800267546,6.765539538040429
73,7.144564718188093,6.762291843417632
74,7.1406900535734215,6.76328975523027
75,7.13931743579251,6.763797126782395
76,7.131948006281767,6.7349348514424365
