,Eldoret,Machakos
0,6.5975990927843515,6.6438798453483585
1,6.529172917320767,6.645974964454524
2,6.542853543726102,6.653087024125803
3,6.575399588706978,6.639896049740655
4,6.566243885146357,6.631078370601248
5,6.562791194386278,6.562791194386278
6,6.572123666604727,6.558673564716479
7,6.64089880903282,6.642141817272417
8,6.633790707182643,6.644353091804366
9,6.6083439324601665,6.636621028557028
10,6.565447817194299,6.628910312900068
11,6.573465456687939,6.6244969367003845
12,6.489935121849543,6.623821061543903
13,6.455646589205965,6.61970505201614
14,6.394382903282802,6.618032368987572
15,6.2974354618860255,6.616356883402047
16,6.242893982776978,6.617135250433609
17,6.292614325884049,6.614036043663568
18,6.323245129490702,6.6109272019424825
19,6.351516813718182,6.606127899326081
20,6.3927406716863295,6.600716001527368
21,6.387398856375553,6.595038221153797
22,6.427257504704034,6.588744974595147
23,6.48159495742286,6.582190495280729
24,6.618715381050426,6.57314099196354
25,6.596195810441369,6.620523118161618
26,6.58279703260344,6.665761376585466
27,6.634620509036087,6.656900779427753
28,6.642439167868435,6.656551736270831
29,6.688841229613597,6.645415885178283
30,6.690197077351437,6.634071769966371
31,6.735312768732915,6.91999799368795
32,6.732615095060158,6.91290825359272
33,6.831905765651529,6.918917142641159
34,6.690545688143479,6.9164661289917495
35,6.693505028047079,6.921298880389344
36,6.642163593156939,6.840693871323289
37,6.637693422977616,6.637693422977616
38,6.632377649562559,6.632377649562559
39,6.63866360280412,6.642341637789341
40,6.61629104235757,6.632941201237457
41,6.785883385452971,6.544106889292635
42,6.744265597927602,6.633950856878744
43,6.730807116111072,6.623656490330998
44,6.701018483002359,6.642193578858994
45,6.6886338926961315,6.672984121029003
46,6.695339231698333,6.695339231698333
47,6.589572339532062,6.7157319947758065
48,6.585901899199114,6.6354442258711
49,6.582430915839419,6.566953392770506
50,6.540337784534935,6.426866061584948
51,6.473177489950581,6.556072424785176
52,6.421041544792106,6.475108766062382
53,6.367348986724408,6.498915566713621
54,6.309279455127117,6.357925744754901
55,6.284368678675764,6.352847807536467
56,6.2793163966829475,6.488495407646785
57,6.300100662450232,6.490604189903722
58,6.3317383350390655,6.492708534554357
59,6.315544108809236,6.494862660343422
60,6.271993364470966,6.489478302761023
61,6.252926015396951,6.4760695667111605
62,6.282559986496706,6.534558994643471
63,6.305925055153349,6.570425394098724
64,6.43036633939427,6.582929713837039
65,6.407574454727711,6.595279604605138
66,6.433428729692819,6.6012381584511175
67,6.399875275589595,6.5957691844564295
68,6.44589514813056,6.589250736391131
69,6.460883859100299,6.616283758327989
70,6.539691414987289,6.679103068370451
71,6.599507788191578,6.670370760201973
72,6.694449336342189,6.682706090693324
73,6.709907137480967,6.694891113024504
74,6.767628949632836,6.669688502111016
75,6.76523353529331,6.7561260042163465
