,Tororo,Kampala
0,5.380096300829159,5.470728347419592
1,5.440210694952086,5.458969852156508
2,5.496915354410596,5.460547710239721
3,5.4923331155998865,5.456993749154578
4,5.745240071819211,5.428510313927199
5,5.709080380694847,5.430104293642521
6,5.549749753989781,5.595170821967687
7,5.558112752196465,5.611889148977269
8,5.558939057898939,5.612619207362562
9,5.831958815207664,5.911840245564505
10,5.832478206686689,5.6792556011719855
11,5.423705056340891,5.54276441635688
12,5.422411619857062,5.534623610463989
13,5.4159222635835285,5.533937237081611
14,5.494131465841262,5.58418308839212
15,5.519599830964739,5.633328596293082
16,5.552361780399109,5.653388594799817
17,5.580410132276577,5.7656386678618405
18,5.5540732815360245,5.733866391976621
19,5.544493151148241,5.728602018516291
20,5.554071012816001,5.735801902138559
21,5.72891973731553,5.731147736751843
22,5.726895565763109,5.7298585308937655
23,5.72931576756422,5.730052415847992
24,5.722318971851242,5.726010375083201
25,5.719024469005042,5.720502665874353
26,5.790922231014981,5.811989948718504
27,5.863462419105324,5.790089578940895
28,5.910368925640306,5.958899158256917
29,5.952030943892073,6.102029828334253
30,5.9926827055215375,6.109099196459389
31,5.939471197107332,6.033060576314948
32,5.801237833304102,5.798513035977917
33,5.251160858481973,5.676134973936596
34,5.429487677461824,5.719883455785202
35,5.425681877812573,5.623736305825427
36,5.423792202869158,5.528757383475383
37,5.414996788196163,5.6189089775824845
38,5.442816399293959,5.7011708566512205
39,5.411983050855047,5.5896642280924995
40,5.398793679133816,5.600378535003355
41,5.283441623247333,5.4036072545508675
42,5.286242743374279,5.508936755458621
43,5.28116832756406,5.400951363887112
44,5.287132917631387,5.405414085303052
45,5.277331206209998,5.341019025467256
46,5.378572266814796,5.398856937986302
47,5.402835490450782,5.398827469053243
48,5.396443466775215,5.501201391272897
49,5.390040984149822,5.331933353342541
50,5.2688916446529035,5.3284461754094945
51,5.050067506224038,5.320655145316519
52,5.123795709372973,5.37278049187107
53,5.116156585835759,5.307211822598467
54,5.114366047948352,5.245255431110037
55,5.093877129023532,5.225047245462376
56,4.736172239430261,4.918493796224216
57,4.726270496792432,4.922703897779067
58,4.767474402154981,5.235160533260355
59,4.770614098423273,5.110232640733851
60,4.751633834527906,5.090235997406944
61,4.743747611079802,4.840078720018234
62,4.514828111541494,4.734190940015797
63,4.530625792136653,4.743484072790689
64,4.74422916271955,4.837486656206132
65,4.8450582667783735,4.929799495233464
66,4.943140500340458,5.097291180167716
67,4.944059829839408,5.098210509666667
68,4.7681129076952455,4.949208222765956
69,5.019239533194721,5.167659538312995
70,5.131306897043219,5.267067944995011
71,5.145237330006572,5.302970958847781
72,5.300741684808489,5.359091567870766
73,5.289896626335981,5.344647141107389
74,5.223509773156054,5.340780644908796
75,5.273482819201824,5.3849382601271465
76,5.271703635316351,5.40823271379379
77,5.760461405165304,5.864484127981471
78,5.691784644209972,5.834407818866163
79,5.866702707855173,5.867905353820933
80,5.45602325136114,5.700038377160435
