,Machakos,Meru
0,6.139219946114761,5.90073795790374
1,6.135997253363657,6.018563318775577
2,6.145474694950575,5.945009930296401
3,6.054093521706231,5.937330373950593
4,5.827897636831899,5.634288120264093
5,5.821020721157123,5.533765360894449
6,5.830917088735715,5.5816893021735945
7,5.8043098052638795,5.586206400697214
8,5.526340729972224,5.491735200794748
9,5.556322220511225,5.423259102304064
10,5.522802048257198,5.385897971154036
11,5.488603902297297,5.164511466149675
12,5.519252533139814,5.160193797845806
13,5.478688512148342,5.155915119885291
14,5.511094959273008,5.158209693010464
15,5.365619232099011,5.197347650111786
16,5.329098957286026,5.201808719671995
17,5.246206386990925,5.178765106195391
18,5.272187854255054,5.206229886463256
19,5.164205250909102,5.210725266543995
20,5.162662151664815,5.209182167299708
21,5.15634815115492,5.112331265738146
22,5.102240786696167,5.001892812861884
23,5.284522603320849,4.9968405308690675
24,5.201488373782122,5.103675063759679
25,5.245575859318381,5.105158680488635
26,5.289217614825124,5.201825792710114
27,5.362731166021395,5.2582349546524645
28,5.427156946595323,5.311644059473479
29,5.354255934403439,5.308385480337343
30,5.3505638617977445,5.3505638617977445
31,5.351549122967573,5.29159019089933
32,5.352533414353242,5.2289194583860645
33,5.360036012356825,5.098820513093208
34,5.3523546480791975,5.040107668803134
35,5.348555934109249,5.032484858394782
36,5.340792538755065,5.023296203592858
37,5.0706656562699335,5.33110499232784
38,5.469077126936084,5.399845335366764
39,5.329452972901233,5.472042830327415
40,5.620864299829009,5.46671362000175
41,5.618866877279254,5.468043987544671
42,5.617377670523267,5.456538002545213
43,5.607528757326522,5.4817455174944145
44,5.597581877372754,5.506333205907609
45,5.630953741355395,5.6224229125033105
46,5.663247795754952,5.726426697376483
47,5.72055307994949,5.696791260962384
48,5.717611532290115,5.666250672617582
49,5.716568792487795,5.664594745414867
50,5.71552496424412,5.665645859122193
51,5.723996956778254,5.664005046150279
