,Ruhengeri,Masindi
0,6.294194544742304,6.123251474202466
1,6.3505274176451865,6.060442530899319
2,6.356295554316818,6.07692304133352
3,6.380077795136465,6.077322641474356
4,6.349003142985581,6.064285957152308
5,6.3633161666305815,6.070042738305509
6,6.289103919590747,6.068293011053473
7,6.350349206799406,6.054682991384673
8,6.302376311379542,6.056735343862079
9,6.291961155137457,6.052104707506678
10,6.279249062378441,6.052130773563463
11,6.257052652046707,6.1069795792240145
12,6.2517427560440675,6.10306056731719
13,6.226291958943903,6.095489048077792
14,6.215248861663603,6.077143615658899
15,6.27304775892336,6.173519819667611
16,6.2909486980697835,6.142057985848633
17,6.38580526356713,6.133074570711704
18,6.386651314105039,6.141759257364711
19,6.38749933791425,6.136612844860007
20,6.37628657758218,6.135574564806038
21,6.364946664171547,6.134535205606046
22,6.355993085751263,6.127784079959406
23,6.355643362824861,6.124489577113207
24,6.353732811193225,6.121292687066978
25,6.348489997501445,6.113643140753075
26,6.257646079570573,6.161144161349006
27,6.2586330136575645,6.202184605937016
28,6.264677101509373,6.354372984576003
29,6.265813714959627,6.361349334856827
30,6.263995578232334,6.124503715111705
31,6.164504459410481,6.122483898456167
32,6.164539768770413,6.123622512423043
33,6.160488584088879,6.118333395413176
34,6.256489932812973,6.116939383429103
35,6.248098183886897,6.1101261299601
36,6.2412519083112645,6.108122953880963
37,6.23363083040881,6.104634076604516
38,6.2355023862255505,6.09294639019578
39,6.244994375170911,6.096754435110813
40,6.259788674998292,6.096423615231827
41,6.360040835118575,6.093598919155624
42,6.359139583551838,5.913047367970069
43,6.3578554765800845,5.902456860672624
44,6.358377966301426,5.842409381144868
45,6.3550967145094175,5.839799265618317
46,6.342913076171015,5.839995909933781
47,6.337635569559889,5.902478211810154
48,6.328197204138714,5.828507432588327
49,6.315005363352365,5.8876329296930106
50,6.311321603195794,5.8852374373691445
51,6.303806393594676,5.91239643131641
52,6.31453254494073,6.287738756600155
53,6.228662758230336,6.253849702009266
54,6.210744022017104,6.379122069505014
55,6.229199753781177,6.305033192846769
56,6.224954026826148,6.343399460271448
57,6.237561664348352,6.350019156170734
58,6.211437970741141,6.386200734524484
