,Meru,Nairobi
0,5.90073795790374,6.043448405287259
1,6.018563318775577,6.0484778753471
2,5.945009930296401,6.147326547331649
3,5.937330373950593,6.09409885631993
4,5.634288120264093,6.0093684917455406
5,5.533765360894449,6.045955241352255
6,5.5816893021735945,5.951169348546963
7,5.586206400697214,5.957432935276257
8,5.5885506634405795,5.838868489147492
9,5.552661873377691,5.789942314452403
10,5.553816903873834,5.78841996717783
11,5.551577681007138,5.839259753458919
12,5.517815618292949,5.837862975246761
13,5.475790186539596,5.833923919941989
14,5.4320373570426,5.874681468392518
15,5.498531598912676,5.818264920736835
16,5.491735200794748,5.830468460863813
17,5.423259102304064,5.722114475353969
18,5.385897971154036,5.735793228107389
19,5.164511466149675,5.618234964950236
20,5.160193797845806,5.6110414513169395
21,5.197347650111786,5.5891451194912865
22,5.201808719671995,5.60878098707073
23,5.178765106195391,5.576448073861501
24,5.206229886463256,5.593345855903224
25,5.210725266543995,5.569670359017267
26,5.209182167299708,5.4888778881188385
27,5.112331265738146,5.459460796833347
28,5.001892812861884,5.436557075662312
29,4.9968405308690675,5.438673283148107
30,5.103675063759679,5.284324379361271
31,5.105158680488635,5.214531237636422
32,5.201825792710114,5.210916764411365
33,5.2582349546524645,5.207282627478537
34,5.311644059473479,5.303447292269301
35,5.308385480337343,5.191622332581704
36,5.3505638617977445,5.3583460022397995
37,5.29159019089933,5.371993093906342
38,5.2289194583860645,5.416344927098195
39,5.098820513093208,5.4267273868554975
40,5.040107668803134,5.37882122126736
41,5.032484858394782,5.301672348210398
42,5.023296203592858,5.400289637619711
43,5.33110499232784,5.407137892891147
44,5.399845335366764,5.570751928922461
45,5.472042830327415,5.57607355855524
46,5.46671362000175,5.5830140756979105
47,5.468043987544671,5.7321955625862575
48,5.456538002545213,5.730706355830271
49,5.4817455174944145,5.8170807193050305
50,5.506333205907609,5.845985095446202
51,5.6224229125033105,5.752997736003181
52,5.726426697376483,5.746629404694002
53,5.696791260962384,5.813529536407596
54,5.666250672617582,5.813816010033001
55,5.664594745414867,5.74005315666646
56,5.665645859122193,5.759364169368541
57,5.664005046150279,5.7214621011750655
58,5.705149165221846,5.722984032857879
59,5.635194816026122,5.713122016246839
60,5.621338118634811,5.626878299010426
