,Soroti,Masindi
0,5.722318971851242,5.635845373847415
1,5.779300962010302,5.675177687462979
2,5.934618135666965,5.868849431235698
3,6.056455533668441,5.897916187093915
4,6.052053768235239,5.893859837756065
5,6.044489561326891,5.886718728325191
6,5.993799400221612,5.959743895809117
7,6.00134660082542,6.00134660082542
8,5.716820491491519,6.005981854153889
9,5.53261792194791,5.535290529329386
10,5.372561740665815,5.312198590938724
11,5.422704208118649,5.368581761113166
12,5.418839245740309,5.368956130992608
13,5.520357303853989,5.41895718941226
14,5.417449185415537,5.3563303703594904
15,5.354824637015098,5.294200015198664
16,5.342936347741292,5.280381673081202
17,5.157147897923041,5.1520064984226215
18,5.149173800831313,5.074272492658195
19,5.146349104755109,5.074221723464717
20,5.222295398136079,5.078458177437094
21,5.144123700227983,5.068819317163852
22,5.149262200584922,5.074360892411804
23,5.149232731651864,5.149232731651864
24,5.1722953950349995,5.146848729373835
25,5.179917146043915,5.139302426889725
26,5.178569006359618,5.132759470328324
27,5.126191201696839,5.126191201696839
28,5.047672013900172,5.123795709372973
29,5.039616508713424,5.116156585835759
30,5.111724038485514,5.111724038485514
31,5.029877546190572,5.093877129023532
32,4.998536503897752,5.072644476051474
33,4.913103824050048,5.067713746135665
34,4.666220668449808,4.544330850840772
35,4.549307094916364,4.492688200916857
36,4.649584580173736,4.478766847861266
37,4.637137876021543,4.464766650080757
38,4.514828111541494,4.491005807556552
39,4.562665145881269,4.516574038681002
40,4.705910298417414,4.641371777279842
41,4.706655943919254,4.752465479950549
42,4.723078615563656,4.760818943546503
43,4.944059829839408,4.853675768371139
44,4.949208222765956,4.86609331605545
45,5.019239533194721,4.942049894503591
46,5.029341970386531,4.946942438619464
47,5.109427877309861,5.033716055574165
48,5.270238230515075,5.23877496105929
49,5.400438500735804,5.227376269354647
50,5.223509773156054,5.223509773156054
51,5.210398843775247,5.303592620673194
52,5.528341086086172,5.5467516479293515
53,5.523180964090592,5.564680694997345
54,6.016729375660117,5.520292489346226
55,5.803827158986369,5.4791271644977835
56,5.532984292497268,5.539695727085255
