,Kigali,Kamembe
0,5.927277427193226,6.002764318330901
1,5.90822561402794,5.950063258882491
2,5.9270485334741485,5.913286848401468
3,5.9172184276019175,6.008843422925059
4,5.9154805752237865,6.083340281377958
5,5.897768282533173,6.110012869741412
6,5.89938549465219,6.043120302970567
7,5.915727360489298,5.915727360489298
8,5.884104104839399,5.980944674098517
9,5.900033324337312,5.934649562188009
10,6.108676798474456,5.953098566656013
11,6.1067956465374875,5.920779329252172
12,6.083262452176841,5.938681223365733
13,6.0973959392231665,6.051144921572411
14,6.098276775016104,5.990472439409617
15,6.121226127128531,6.048502540783727
16,6.131955303488407,6.060320959369367
17,6.137087596869932,6.082332963151574
18,6.135424222444101,6.087586893029941
19,6.147040198998871,6.087828339367025
20,6.1678032677507515,5.966518510249041
21,6.1353745693079285,5.961743790811702
22,6.120536102127001,5.947367927319533
23,6.070197103384754,5.884663982208585
24,6.188511945939813,5.928085837307651
25,6.220618544647809,5.918735722337301
26,6.121278000307929,5.9655757297892515
27,6.194666454094312,5.945807822725435
28,6.114390555628879,5.987410426491579
29,6.107145710389409,5.791782436978431
30,6.096527509615628,5.643575735241475
31,5.95832567966896,5.66841395188991
32,5.948951265414249,5.667230462478968
33,5.859684103370586,5.669014842810803
34,5.704450027419975,5.599089511762149
35,5.699985711592233,5.630890281262055
36,5.7073554231071855,5.637645962553383
37,5.7126011997130615,5.6382727933029635
38,5.712417802875138,5.776417385708099
39,5.709347378025289,5.743441589368264
40,5.712150413001078,5.773881088446245
41,5.7685789367499885,5.720749849060107
42,5.806321718115843,5.7491633042758945
43,5.714974392916642,5.697430083265733
44,5.778715697125422,5.683133371449232
45,5.919927276580723,5.677690066450933
46,5.70804380569503,5.636156576181714
47,5.68850401729553,5.651380229421331
48,5.827942054429041,5.639541451558705
49,5.95376740573558,5.665345961715921
50,5.997213569656061,5.721440569652407
51,5.936512306067896,5.697584887052424
52,6.052946940839047,5.616632357291462
53,6.0493481838585055,5.678284502467673
54,6.049909399349216,5.616044816719354
