,Kamembe,Ruhengeri
0,6.668131934783771,6.845384689993779
1,6.659685276645941,6.841007786991967
2,6.661473185674499,6.843339265348304
3,6.664371981824951,6.846374027923991
4,6.609791223047029,6.852737401657419
5,6.636040277721459,6.853417162565521
6,6.6686345813781935,6.854164942208932
7,6.638263000048744,6.858107532387714
8,6.613296546511881,6.8576869493303585
9,6.635936872882846,6.853863218306122
10,6.6019454883193776,6.848732973604506
11,6.617904918014925,6.836158484034943
12,6.579364834389938,6.828856108109329
13,6.571979460215723,6.820229900963154
14,6.698403416153799,6.8233815623447205
15,6.588560319819493,6.833153202340072
16,6.5968559726308165,6.847343831622957
17,6.66844318172644,6.852580761929317
18,6.667565375484248,6.851658411926584
19,6.634503616026713,6.805668132517342
20,6.667517666091672,6.805091157745374
21,6.6649977390414215,6.804516756600616
22,6.654089976970547,6.8359432593471405
23,6.64768824314714,6.829728545544641
24,6.637124385204231,6.817473276852353
25,6.625519477846792,6.807652905583659
26,6.619936885314041,6.710613852196878
27,6.613240897846361,6.703079531454919
28,6.620132858649259,6.730464012647935
29,6.621963355424937,6.7737533357147415
30,6.6291429863140285,6.815897885274675
31,6.6329277937646305,6.820153170268654
32,6.624569017755475,6.814656500500298
33,6.552219850099193,6.809158933198022
34,6.615010084585146,6.806864602037824
35,6.61440822419771,6.796921553933091
36,6.623072924813738,6.827230029427219
37,6.6271712543631365,6.813598416771321
38,6.627558448366056,6.810071778101436
39,6.625638109899444,6.807959666693398
40,6.628151667380087,6.812208833519188
41,6.635309977675683,6.817439060212475
42,6.6318422135796835,6.8355631349145005
43,6.630685246548976,6.830828488019258
44,6.627761300456787,6.809306459696213
45,6.627159197022407,6.787285990253007
46,6.6167917109748355,6.776335923355868
47,6.603043946271333,6.763516390622766
48,6.590587029485908,6.8760581790826185
49,6.5828194258391255,6.870501498290906
50,6.577454808521302,6.862767211617765
51,6.563777781943802,6.852355510523528
52,6.565364921629401,6.851404835019904
53,6.563368698521016,6.851349769330533
54,6.560334943093867,6.849216775737552
