,Busia,Kasese
0,6.318462984402514,6.465979102746381
1,6.337440950762077,6.3640641162465394
2,6.316188099802063,6.455550730509163
3,6.312043019468261,6.491592672816966
4,6.3872553915217,6.512276094478314
5,6.358921285335857,6.562793188691354
6,6.336599528487916,6.56363709979081
7,6.403138777787544,6.630871307801319
8,6.135943578426915,6.664316212353267
9,6.318066477928407,6.494985536439013
10,6.292744691025658,6.4973427750168735
11,6.364133904030523,6.4774332427395285
12,6.233923744733619,6.483002024496989
13,6.283766709015299,6.505223694752854
14,6.2642628327982495,6.5629303312726694
15,6.279482992071245,6.561512514144189
16,6.318338482369976,6.555773996162218
17,6.419610623769823,6.549849635989781
18,6.4160879355427145,6.542930340016441
19,6.319295131018286,6.5236865490992715
20,6.168196797178696,6.533567448084982
21,6.188487988431572,6.507800604769959
22,6.261066817385763,6.462571193596491
23,6.318982538170334,6.462358144829634
24,6.34400489913866,6.462145141442885
25,6.426697114685671,6.470067619684719
26,6.536507788619762,6.493465281379583
27,6.542105035181455,6.517169360001271
28,6.573984859087074,6.441928821597718
29,6.566451950177369,6.43695806696297
30,6.626442213394548,6.431272514122744
31,6.320739745217466,6.515723917055652
32,6.2572799749626205,6.52673237592274
33,6.1697472348898375,6.48892797440099
34,6.304228302247334,6.491349319745419
35,6.324607257103773,6.493243890620956
36,6.366576585153397,6.488305752721292
37,6.384156553993323,6.483447248284074
38,6.391725383085202,6.478612234827176
39,6.376299531708487,6.475733428696675
40,6.340108240376205,6.510595339523157
41,6.173066404506129,6.458426674196753
42,6.055848936770209,6.404032818634217
43,6.0010634591662155,6.343174366847618
44,5.998788364642731,6.337221001813375
45,6.138586130010234,6.249862128999495
46,6.13140875358258,6.373673346343568
47,6.139071629404233,6.3796861909980285
48,5.902397921938062,6.199441379378957
49,5.972560340355643,6.201716136854186
50,6.015461771344169,6.213012947801603
51,5.970295975445936,6.2602176904912215
52,5.730182953450687,6.244142036553056
53,5.732268964572776,6.216026998630689
54,5.701268829493364,5.909090926113141
55,5.735724872959848,5.866086690823091
56,5.732889943539251,5.933305243775905
57,5.756427367978361,5.78338317796689
58,5.752279466640863,5.963328313071728
59,5.835325298116617,5.986953908511165
60,5.843348709775264,5.965710317425975
61,5.717511210095894,6.023490766989252
62,5.6865081572831535,5.7762040996434525
63,5.760906013162644,5.980227556002278
64,5.856639982317028,5.98551370466757
65,5.844419438849057,5.8667251963633555
66,5.912407847648022,5.858340626377746
67,5.9005644168589795,5.988757128894441
68,5.95560904299699,5.934151415658526
69,6.019313963734245,5.934202644317961
70,6.039841405289059,5.713946972747484
71,6.08777932027933,5.8524256050581895
72,6.103159078239208,5.846113975249317
73,6.345259344147123,6.020066538478743
74,6.316250169677425,5.956503026701722
75,6.258334989814062,5.898169640935562
76,6.12786287825786,6.220726728443676
77,6.065788822982034,6.241169350421754
