,Machakos,Mombasa
0,5.663050592336632,5.663050592336632
1,5.665145711442798,5.665145711442798
2,5.672257771114077,5.672257771114077
3,5.658435682791919,5.651678900329039
4,5.651305418522216,5.616937775018008
5,5.644468629777895,5.559612094317776
6,5.2372561914830325,5.508948156693528
7,5.2546044479129295,5.6263395456444005
8,5.2568218721470785,5.628726783762941
9,5.251565057688284,5.623469969304146
10,5.467497122992928,5.648495052856374
11,5.537016488401119,5.645324684896288
12,5.537539385333272,5.642164336412144
13,5.533469158949079,5.701232614430102
14,5.532418680015416,5.7330818821748855
15,5.5313670964152335,5.75819389314574
16,5.529654802134344,5.732670950171132
17,5.562680974575331,5.6348541569084265
18,5.594651199935008,5.726462901680004
19,5.624883450128195,5.720646562679751
20,5.619678783453023,5.715593832472825
21,5.614208968142071,5.709519147946396
22,5.607079950536025,5.7042127310879
23,5.601256645229004,5.698466882606674
24,5.592101676982761,5.828932639445087
25,5.571691493926981,5.8083487644079135
26,5.71808494893371,5.798502773635724
27,5.84575867635821,5.894760727380856
28,5.844499814945302,5.893770863952085
29,5.834345209659806,5.931263106852228
30,5.823634251278926,6.044876058755317
31,6.04216558817297,6.040135130622588
32,6.038454229669367,6.08743755590237
33,6.139219946114761,6.156595783368672
34,6.135997253363657,6.106228931967803
35,6.145474694950575,6.10914137552613
36,6.054093521706231,6.0124208253056635
37,5.827897636831899,6.0093684917455406
38,5.821020721157123,5.798358695976124
39,5.830917088735715,5.8025463916065
40,5.8043098052638795,5.731476442585433
41,5.526340729972224,5.625046498777687
42,5.556322220511225,5.6259706148010675
43,5.522802048257198,5.562411186352244
44,5.488603902297297,5.488603902297297
45,5.519252533139814,5.481896746596045
46,5.478688512148342,5.478688512148342
47,5.511094959273008,5.442339363857878
48,5.365619232099011,5.404987014890031
49,5.329098957286026,5.476969285325734
50,5.246206386990925,5.51190955272393
51,5.272187854255054,5.516384814767096
52,5.164205250909102,5.451887323360883
53,5.162662151664815,5.452128345910097
54,5.15634815115492,5.298810832680764
55,5.102240786696167,5.247015270894869
56,5.284522603320849,5.197511226331219
57,5.201488373782122,5.288499750771752
58,5.245575859318381,5.110171222312179
59,5.289217614825124,5.106058887618105
60,5.362731166021395,5.198150143915265
61,5.427156946595323,5.274217653954362
62,5.354255934403439,5.348390814951041
63,5.3505638617977445,5.3505638617977445
64,5.351549122967573,5.352724675040466
65,5.352533414353242,5.352533414353242
66,5.360036012356825,5.360036012356825
67,5.3523546480791975,5.313287179888288
68,5.348555934109249,5.344731837670846
69,5.340792538755065,5.336953762447899
70,5.0706656562699335,5.476130764378098
71,5.469077126936084,5.755085558829836
72,5.329452972901233,5.807565399260921
73,5.620864299829009,5.729077884469241
74,5.618866877279254,5.7270804619194875
75,5.617377670523267,5.743380796726998
76,5.607528757326522,5.771672679766035
77,5.597581877372754,5.7694321342994135
78,5.630953741355395,5.747388497238671
79,5.663247795754952,5.746629404694002
80,5.72055307994949,5.743367757715662
81,5.717611532290115,5.743795460590952
82,5.716568792487795,5.74005315666646
83,5.71552496424412,5.7270849619597355
