,Bujumbura,Gitega
0,6.831711555865291,6.554927815925841
1,6.829314736948645,6.640061667464929
2,6.789606543342268,6.625934183072725
3,6.804777198418894,6.611977484199415
4,6.6416082522061375,6.611630181391524
5,6.659550398944849,6.420471500272277
6,6.626008735866095,6.338539633279884
7,6.6419894539775415,6.389106889888386
8,6.649500081062035,6.525878007915254
9,6.648599273855131,6.605427101989923
10,6.612940262058149,6.395156963212513
11,6.568359229397142,6.291596680163449
12,6.5908872152743605,6.24536514313323
13,6.58308978407871,6.3443007194227174
14,6.562845757859206,6.520400855227172
15,6.598021512628579,6.519407263256823
16,6.565814479014084,6.524855413696548
17,6.6072390975471516,6.548590370465644
18,6.57633323386622,6.738399279456277
19,6.56434928469996,6.788854218351428
20,6.567516385585666,6.775275018060396
21,6.553897505127037,6.820742151103207
22,6.54101188514996,6.800904323491358
23,6.567262555187745,6.554426726648483
24,6.563238541335895,6.631597045978958
25,6.532216417257762,6.460845423365843
26,6.560165067690595,6.450899422394089
27,6.519092645376048,6.445122354215683
28,6.551059360118871,6.512763075041591
29,6.588755294981189,6.445954217953043
30,6.605776806720178,6.517745135747626
31,6.583560273297957,6.5056591931481345
32,6.594301393318915,6.522935379097491
33,6.58685742406695,6.517378938876149
34,6.588814356727455,6.519882221977137
35,6.589359020589508,6.446367436714035
36,6.586142958847989,6.363567750828419
37,6.579514759064343,6.357725883369943
38,6.569733284672292,6.424542346216506
39,6.556586103503144,6.553135841310992
40,6.549713223468156,6.608783318257338
41,6.604119515454373,6.538284257588735
42,6.601299775586061,6.571052762583975
43,6.602266781920763,6.60172521678432
44,6.611578779786718,6.611038093101472
45,6.609550046995242,6.477577015290735
46,6.617689646198851,6.410762666473887
47,6.625869143584258,6.415967239608131
48,6.626653862364576,6.418132829917909
49,6.6318103144186455,6.341947216020505
50,6.632927414209401,6.2575397613385135
51,6.634048206486979,6.346366134035198
52,6.630406914208195,6.343270842315979
53,6.626774874924381,6.340185101871209
54,6.624352233894867,6.335942094428762
55,6.620303604451678,6.4122020062373215
56,6.680884611753697,6.417693559310212
57,6.689850951095116,6.496356093703037
58,6.694717142562465,6.347695630324375
59,6.701662628872733,6.352585617452547
60,6.705549419872702,6.270091191171099
61,6.515340149394893,6.273439644988426
62,6.371479561986303,6.083312170427689
63,6.407176191833273,6.376958065268908
64,6.382394242556285,6.3801972442357435
65,6.42737863769142,6.387143325499521
66,6.419946473580604,6.457321065777353
67,6.509398202240473,6.454048107157308
68,6.529703468401219,6.456754468755051
69,6.530331411906939,6.529703468401219
70,6.521976964677472,6.52449427248885
71,6.518046916719541,6.586199804956768
72,6.521803788991553,6.590039753668052
73,6.526846199265699,6.525584369445276
74,6.520651218276904,6.444498952395902
75,6.536400838625864,6.305165117414319
76,6.527266458375356,6.251521140128388
77,6.515064879288084,6.2402008446473065
78,6.51281920235054,6.323733245468043
79,6.518874025193815,6.403968822122032
80,6.524892407686636,6.415645157541168
81,6.517067355550041,6.425401224899077
82,6.476996392112063,6.476996392112063
