,Arusha,Dodoma
0,6.11528598802862,6.0367332235162365
1,6.111559480006191,6.084326329547832
2,6.268523178429757,6.016723136445002
3,6.261541545051247,5.707040857782595
4,6.1877713548258875,5.647985276476183
5,6.183889545754441,5.598505173424054
6,6.006220888349961,5.42493956641831
7,5.7846371836482176,5.353269332280783
8,5.497595701740491,5.286829113376017
9,5.514044262101511,5.258565330144365
10,5.499299789558962,5.263156983701112
11,5.4992076023025565,5.257206548876339
12,5.412854321800954,5.220421455402679
13,5.408898442850501,5.225610444060843
14,5.380760254795821,5.086949460402667
15,5.54110921613512,5.032009218336599
16,5.53579587677543,4.995813668717984
17,5.4499121698897035,5.065675362401393
18,5.259386746576515,5.049666215594446
19,5.257175820927511,5.00779003355301
20,5.25021947087972,4.9930570727163905
21,5.3430828702914175,4.972138956551486
22,5.34498329758997,4.949795772240045
23,5.391339105961063,4.9268538194537745
24,5.253218435175246,4.928495091043115
25,5.031718853651894,4.930139060833974
26,4.900092483650358,4.783120807064854
27,4.902001142312378,4.8278931701586565
28,4.901519197262282,4.809774083622453
29,4.739282205158855,4.746886804544074
30,4.9023315780284715,4.701660882566321
31,4.969585316326035,4.678859101493026
32,5.029941707869589,4.709342820404666
33,5.028424999593834,4.776293911406372
34,5.025798518342362,5.048398350259603
35,5.136507602734529,5.03454267607784
36,5.188366307921746,5.037431064948462
37,5.218885617578165,5.006201197054092
38,5.184950383554069,5.029195854144836
39,5.114944618859133,5.029330866136141
40,5.1628664932766215,5.044476477328462
41,5.1313885312131235,5.064525585983997
42,5.128853674501414,5.118853591166832
43,5.141140312830274,5.36819776346562
44,5.2216896097719925,5.430738815471762
45,5.240051789536639,5.423986610055315
46,5.3096563986669185,5.410343863659013
