,Ngozi,Kigali
0,6.102116937636919,6.1758568031995535
1,6.028834720029062,6.09073394414007
2,5.92122619419895,6.132622644058208
3,5.930182834374392,6.195723984372353
4,5.997301919080965,6.1679370760627785
5,6.080085279967258,6.174606262183899
6,6.005313902082904,6.031654838352989
7,5.933500328882644,6.180116624955396
8,5.928901748804555,6.193356329019902
9,5.832381726287005,6.156871420733855
10,5.826894749932891,6.178700655037468
11,5.993810719415189,6.172196157513219
12,5.913976592287441,6.208600841072602
13,5.749577396731779,5.864419716163516
14,5.835119156857294,5.8467961771826085
15,5.908513281514768,5.834357034290819
16,5.906778490054323,5.804320609309632
17,5.91138181063483,5.8456306081203815
18,5.914724628175666,5.839603705507034
19,6.0463516042297485,5.8259096205406555
20,6.1562859289462635,5.813412032967254
21,6.143269121689526,5.868805144568038
22,6.239638643431095,6.068554512281822
23,6.275433053710585,6.115875193731333
24,6.26880949077588,6.070204060158513
25,6.233048551417794,5.979594349313185
26,6.291324244122646,5.941639031825922
27,6.190009375416296,5.892688402286606
28,6.080106540280961,5.928026044208325
29,6.083595854626639,5.927277427193226
30,6.278549747862325,5.90822561402794
31,6.277044715576592,5.9270485334741485
32,6.265595796077003,5.9172184276019175
33,6.281201403477482,5.9154805752237865
34,6.075748554299915,5.897768282533173
35,6.077610732578964,5.89938549465219
36,5.89961513316127,5.915727360489298
37,6.018392984072269,5.884104104839399
38,5.95475143657423,5.900033324337312
39,6.059859588631684,6.108676798474456
40,6.149972230191106,6.1067956465374875
41,6.143099350156119,6.083262452176841
42,6.229229698805654,6.0973959392231665
43,6.228869104423331,6.098276775016104
44,6.229294545621591,6.121226127128531
45,6.319924866041962,6.131955303488407
46,6.237235662910681,6.137087596869932
47,6.243342928811339,6.135424222444101
48,6.24830284061415,6.147040198998871
49,6.254981189231674,6.1678032677507515
50,5.93648210791234,6.1353745693079285
51,5.93868912606712,6.120536102127001
52,5.871986130189663,6.070197103384754
53,5.872393469021647,6.188511945939813
54,5.801812236955429,6.220618544647809
55,5.865792788148753,6.121278000307929
56,5.719727094610259,6.194666454094312
57,5.643382971643061,6.114390555628879
58,5.5646538286159455,6.107145710389409
59,5.567933976927659,6.096527509615628
60,5.739145179503344,5.95832567966896
61,5.883119626063513,5.948951265414249
62,5.8892268125399205,5.859684103370586
63,5.676875716929893,5.704450027419975
64,5.767163274813551,5.699985711592233
65,5.768670592030551,5.7073554231071855
66,5.917726034587793,5.7126011997130615
67,5.908180115972894,5.712417802875138
68,5.968201480598184,5.709347378025289
69,5.9068882957854605,5.712150413001078
70,5.9068882957854605,5.7685789367499885
71,6.024504345490049,5.806321718115843
72,6.018907569523006,5.714974392916642
73,5.898069736281122,5.778715697125422
74,5.901934983382253,5.919927276580723
75,5.894725429555528,5.70804380569503
76,6.111845806410822,5.68850401729553
77,6.105520464663054,5.827942054429041
78,6.092602194811349,5.95376740573558
79,6.090356517873804,5.997213569656061
80,6.090018822849641,5.936512306067896
81,6.15223723321203,6.052946940839047
82,6.081504425209332,6.0493481838585055
83,5.994140488272787,6.049909399349216
84,5.993078061798194,5.987330973901516
85,5.9889936469020695,5.920573517390914
86,5.98489248111995,5.909532339899531
87,6.188880762315532,5.896794022252494
88,6.229324184132877,5.80823603718836
89,6.224975055420751,5.877369081488164
90,6.222292891482121,5.831095324675373
91,6.296980019745178,5.812233767390674
92,6.372406304816314,5.7913432700809695
93,6.363647938984261,5.851939667113648
94,6.357064639876909,5.905235201021111
95,6.389081600412562,5.82235466383261
96,6.340049102102762,5.826678730337116
97,6.333582167648364,5.816547353131335
98,6.278795714167296,5.686363172841329
99,6.2274859072798545,5.65707543746273
