,Busia,Owino
0,6.484273434130676,6.549089386259068
1,6.5097193815338565,6.577317384946351
2,6.487370746174096,6.518566601942577
3,6.480575301000738,6.535536160018683
4,6.54795668949815,6.677355844837763
5,6.549507351979705,6.605846195190644
6,6.504827322206012,6.540388189406946
7,6.544519930548691,6.552406136343881
8,6.333078952381815,6.591873480460989
9,6.351968029604088,6.615933575438553
10,6.348159339610958,6.449038453929686
11,6.326456781179954,6.477066337580395
12,6.30475379309067,6.437522699974859
13,6.336876534329248,6.44215294216079
14,6.333496132248131,6.436160547191164
15,6.44080757466837,6.5423232365565624
16,6.459829224395914,6.556107830249778
17,6.5521888183429535,6.589533478879123
18,6.557256755296448,6.5743119407576085
19,6.472967513574678,6.398114045424532
20,6.362495507720012,6.381882860752917
21,6.358446097206194,6.43848880487973
22,6.477459806090242,6.500073397992073
23,6.52600340998999,6.509105407369265
24,6.527799111664322,6.6114883655834955
25,6.521873300117559,6.61245173027075
26,6.5682621866316495,6.607299149439882
27,6.755208606620563,6.749134376931457
28,6.8144264820429035,6.788620214694112
29,6.836408044213878,6.867545437902375
30,6.763172859837966,6.861353697393771
31,6.755151279648352,6.856648166002482
32,6.757273450876662,6.848876293235224
33,6.5686053536510105,6.515723917055652
34,6.45524907719179,6.443179353104459
35,6.335859699897743,6.369176518407709
36,6.39597073814894,6.451225325979993
37,6.452166065288748,6.491195409194483
38,6.478555173605915,6.4869349505875125
39,6.474503260213176,6.484474118132993
40,6.490188802656174,6.516910499473327
41,6.587247809928879,6.618651356660965
42,6.499956941318101,6.615360439861219
43,6.395096163241861,6.39917401875369
44,6.283574874774027,6.382430488835728
45,6.212372552833423,6.299680577704196
46,6.209992795585473,6.35930208488863
47,6.35076064995387,6.424592157534765
48,6.306302535228485,6.413767803545446
49,6.359145339474154,6.459265399242641
50,6.384164618504159,6.460625784598636
51,6.585852906913254,6.566099178177021
52,6.583474574587587,6.602245940175688
53,6.551717638267006,6.620500447784904
54,6.564760051068772,6.734581445098495
55,6.562364558744906,6.745720776779637
56,6.631283818798618,6.722959450631854
57,6.258538428971502,6.386170099468836
58,6.057030870876536,6.1455842682179815
59,6.0213704836787825,6.172172096591272
60,5.955502967877606,6.157100877128949
61,5.960273905882792,6.153768763274872
62,5.956033494853461,6.156908459543163
63,6.056329551764917,6.140722794578813
64,6.0521816504274195,6.223818801333028
65,6.133655764325433,6.216999989388145
66,6.126954902622972,6.309119362566396
67,6.132401458663641,6.223781017326023
68,5.996663085586993,6.137826569887441
69,5.94231889202038,6.1471133046663935
70,6.041642782338404,6.148032634165344
71,6.064048048055822,6.154407268815136
72,6.19304763747439,6.2906039276406345
73,6.266651194980059,6.373813365371398
74,6.4511225008960125,6.418604935085321
75,6.477744607422322,6.455001152190991
76,6.470879912437218,6.445987944428703
77,6.490652074375765,6.546800532856458
78,6.551501210703764,6.602490322579463
79,6.604173346422462,6.626953374754281
80,6.590809707238734,6.680488463777335
81,6.5736796800094,6.671897308154846
82,6.473166649246316,6.492660443927318
83,6.4579911372117875,6.558265308079828
