,Mbale,Tororo
0,5.380096300829159,5.366612950491872
1,5.315108037028888,5.340941584956898
2,5.24560092612969,5.3145937976166415
3,5.28347200357132,5.295622821353832
4,5.291061483717872,5.291061483717872
5,5.334696527843346,5.348429982859414
6,5.492372641406479,5.549749753989781
7,5.5871529054176285,5.610142423642327
8,5.55801951760426,5.602991124233586
9,5.518558680276081,5.576141902958443
10,5.458544154826388,5.4923782278421704
11,5.426834949349819,5.423705056340891
12,5.404544618028637,5.360092855457803
13,5.454821743197266,5.454821743197266
14,5.529090150862232,5.5281612144275725
15,5.532587026491551,5.5139818386605155
16,5.554161960903257,5.555958906579959
17,5.6617284787816615,5.635625854879024
18,5.73312151298501,5.656488286964094
19,5.757206829097955,5.725621390378153
20,5.732843320098814,5.695102992115967
21,5.704078414783624,5.643596694341668
22,5.685238653062714,5.687556151203077
23,5.687940930497865,5.72931576756422
24,5.722318971851242,5.722318971851242
25,5.874231226657774,5.7813879192895
26,5.999119475863482,5.969114394466924
27,5.996356259907167,5.9628779560878975
28,5.991297558814167,5.964084995289282
29,5.983435180334269,5.983435180334269
30,6.022404210803276,6.007103365847976
31,5.938288464858283,6.029826072147289
32,5.629472606775861,5.797147848052577
33,5.373399411927151,5.1801395887336295
34,5.372561740665815,5.372561740665815
35,5.368581761113166,5.366130350325041
36,5.526976439104388,5.423792202869158
37,5.567445339952891,5.527474771622853
38,5.467556005469715,5.471308355088266
39,5.294200015198664,5.342139477487782
40,5.399799209635835,5.342936347741292
41,5.221686419060612,5.154580502417795
42,5.151747804826485,5.154315200331731
43,5.147636934939538,5.075605806730655
44,5.1529607047350146,5.1529607047350146
45,5.138928883350879,5.275061057675458
46,5.149262200584922,5.133677469568224
47,5.149232731651864,5.117816535418485
48,5.144268082780344,5.211709363575876
49,5.139302426889725,5.204488406774421
50,5.132759470328324,5.054234707216013
51,5.126191201696839,5.094273598728534
52,5.123795709372973,5.123795709372973
53,5.039616508713424,5.039616508713424
54,5.106418986255821,5.073983710502667
55,5.088471710456624,5.044143123349394
56,5.072644476051474,5.072644476051474
57,5.067713746135665,5.064955123696586
58,4.852632210495289,4.53969047128427
59,4.576458083982315,4.526104197836701
60,4.603064564538843,4.526622869038901
61,4.637137876021543,4.507543104770602
62,4.562665145881269,4.468255461410195
63,4.74422916271955,4.641371777279842
64,4.752465479950549,4.8450582667783735
65,4.943140500340458,4.943140500340458
66,4.944059829839408,4.944059829839408
67,4.949208222765956,4.8042179123373625
68,5.127453117834954,5.019239533194721
69,5.131306897043219,5.100216309973188
70,5.135136234020068,5.033716055574165
71,5.279048860197229,5.300741684808489
72,5.289896626335981,5.227376269354647
73,5.286030130137388,5.223509773156054
74,5.27784012457078,5.367203805187378
75,5.61253317730652,5.550062909233008
76,5.609203151428446,5.563053355337969
77,5.6081538451375605,5.520292489346226
