,Rubavu,Bujumbura
0,6.339168770196058,5.800053222391385
1,6.398322519768936,5.803574351104725
2,6.095316530794884,5.805781369259504
3,6.1583768022964795,5.807993269119418
4,6.188511945939813,5.906761112525855
5,6.155967213988995,5.932534200543064
6,6.193923108978489,5.798297296527306
7,6.2692660683425,5.855272586606483
8,6.3091539525461995,6.049819425140857
9,6.0091653020292055,5.729389000907824
10,5.942215786225738,5.656002995475424
11,6.075861221202065,5.660892982603596
12,5.999235081840465,5.5777379765123305
13,5.940666749077419,5.956972801072308
14,5.963512142491708,5.966014453878138
15,5.910850307619926,5.972952811434609
16,5.887764933429515,5.768670592030551
17,5.934024073803191,5.980210865697407
18,6.011883621748981,5.97198307253151
19,5.9984734940493025,6.082552299107358
20,6.061563160898026,6.242858566362501
21,6.0102314541191575,6.098147157065265
22,6.038944013384596,6.169882387092319
23,6.000480185945827,6.177789186618846
24,5.92525732648596,6.080391293075077
25,5.919927276580723,6.075581406906211
26,5.992831520120446,6.099257133675139
27,5.9215112981320805,6.2604292235729275
28,5.907984762102577,6.251521140128388
29,5.955982246065133,6.284402495559847
30,6.0191694960574775,6.362199526295839
31,5.936512306067896,6.328189702174075
32,5.8864359900717345,6.2929823631602435
33,6.051346186521179,6.247408348826111
34,6.002371348759317,6.040981947770994
