,Soroti,Tororo
0,6.216049695558607,6.310628435613145
1,6.119623341749793,6.316157340665454
2,5.71903860700354,6.125979730139825
3,5.719241836835949,5.761986482247964
4,5.800096710061011,5.798048228634538
5,5.933728619282173,5.866523058369317
6,5.90105695564276,5.865483781999095
7,5.823103905767166,5.858104237907202
8,5.617400973585761,5.829480305294592
9,5.656328809819859,5.779707830980365
10,5.766673222085411,5.767369358556267
11,5.607733441311675,5.690036036952649
12,5.604900743720365,5.692456634744684
13,5.602076047644162,5.689631938668482
14,5.603546248123648,5.771605357997039
15,5.680526165783623,5.759169293102736
16,5.686539010438083,5.76750807297175
17,5.767478604038691,5.805630370003067
18,5.904856544135821,5.834827939775338
19,5.758540898024515,5.832449607449671
20,5.752999880080181,5.8717161869195635
21,5.7432146867839835,5.9515600169992435
22,5.7408191944601175,6.0114068335525985
23,5.732763689273369,6.030339835370349
24,5.732186734676591,6.102425039976394
25,5.720147026922902,6.038338737864384
26,5.775922780561859,5.798226932364573
27,5.828751262238462,5.769091425832126
28,5.931781950088486,5.722985847182417
29,5.869226387091382,5.724427269620517
30,5.852730596523678,5.71029759625086
31,5.841110680347479,5.823455745108759
32,5.896394331465438,5.896394331465438
33,6.126011951115102,5.9646022840716135
34,6.0276661383997325,5.995917440085153
35,6.028411783901574,6.028411783901574
36,6.037629071824705,6.039693056045557
37,6.042672118507518,6.042672118507518
38,6.0478205114340655,6.0478205114340655
39,6.069061657693399,6.125441991129507
40,6.099299003294265,6.150301557746637
41,6.2063025460794305,6.208040165977971
42,6.205810891938681,6.251620427969974
43,6.244408571030333,6.241069669764819
44,6.301166696648176,6.25870937878719
45,6.310560319430186,6.350019156170734
46,6.425531646586908,6.407463052176407
47,6.420997000136489,6.523314215617287
48,6.5275549994261075,6.5275549994261075
49,6.526819362738636,6.526819362738636
50,6.537520207809981,6.407330065106544
