,Ngozi,Ruhengeri
0,6.274015287068532,5.902075447499353
1,6.369134044251951,5.90847120073121
2,6.276161683759354,5.909609747127564
3,6.364820103532932,5.907674470471146
4,6.367989462999362,5.352890014635128
5,6.363567750828419,5.576571269155546
6,6.358082072153762,5.572610923236017
7,6.261654122552297,5.657981515716713
8,6.245282409995431,5.8024266553006925
9,6.2384095299604425,5.79558037972506
10,6.230014936380357,5.8770732642505985
11,6.228869104423331,5.8797785777764275
12,6.313681937899138,5.888558694303065
13,6.233045042035486,5.902518315739796
14,6.141727443695866,5.571507339385583
15,6.146922782984865,5.570072281113153
16,6.0467499218923075,5.5703137274502375
17,6.052198560566379,5.446643050963132
18,6.013160074860922,5.39362695989835
19,6.000084065035526,5.226505346913041
20,5.9354275585128615,5.218883173342661
21,5.804897977400199,5.209444807921487
22,5.801812236955429,5.169102939642798
23,5.798297296527306,5.302409381441242
24,5.547036430877266,5.386743758941939
25,5.461644335296973,5.393635719744837
26,5.56306778546031,5.5153510240897505
27,5.471353148921878,5.404346046175641
28,5.572823964055831,5.2125949576361315
29,5.5777379765123305,5.141937138118677
30,5.486095427777976,5.139273772052277
31,5.6607107800765375,5.347775083481243
32,5.767163274813551,5.293802470598628
33,5.768670592030551,5.299020872571068
34,5.917726034587793,5.083275951223835
35,6.194685025251659,5.0859619968138645
36,6.18781457811301,5.251980332784065
37,5.7636072881951055,5.281033476975662
38,5.800746835144563,5.313842779635041
39,6.053106908196236,5.322465976061956
40,6.130679026381403,5.255925038674372
41,6.133839127518489,5.202292790873619
42,5.718906462967478,5.261626827350946
43,5.88163779480016,5.295327034191545
44,5.473115000427939,5.422927602307356
45,5.357885098819039,5.359956589339543
46,5.3466568286844325,5.444418887112604
47,5.344411151746889,5.478250628743873
48,5.545029386719342,5.465165493275693
49,5.3552366962848295,5.465558602968683
50,5.471423843348001,5.504621008416834
51,5.652946199520379,5.548958411605434
52,5.793751934386212,5.632138716262267
53,5.98489248111995,5.620340833198896
54,6.0364631851751085,5.593844477669925
55,6.027916161448382,5.495615016389327
56,6.023196326604239,5.591207921877089
57,6.221461981588034,5.550513873773169
58,6.296980019745178,5.568693588168818
59,6.290350690181669,5.614719734401652
60,6.283723763877686,5.829185556865135
61,6.277910584176898,5.773842846645338
62,6.34282247703065,5.747925345648429
63,6.259648676664725,5.72131821467929
64,6.166593108832996,5.710345222818582
65,6.203994501084597,5.533089301487605
66,5.662329938968816,5.450571205152485
