,Busia,Soroti
0,5.752193689028138,5.635845373847415
1,5.76315459508666,5.632550871001215
2,5.861196332657981,5.791608808453554
3,5.928837110631458,5.862824867282645
4,6.079054370053745,5.927802490107859
5,6.083893311057493,5.919009075587126
6,5.980881500846523,5.822576736495707
7,6.01459182757544,5.7967794350841455
8,5.688290027834117,5.630280035160463
9,5.474777111293995,5.430325348723161
10,5.462532472239282,5.407508770743049
11,5.416722136441101,5.30802271951776
12,5.477651372541887,5.366866266073148
13,5.480279080286579,5.383759991607632
14,5.433135781583236,5.41348878419944
15,5.450898467104721,5.324971673865417
16,5.44403246461266,5.342936347741292
17,5.411591328899088,5.289075440965589
18,5.281738231253175,5.154315200331731
19,5.235077220363793,5.076987976957607
20,5.241253311880692,5.1529607047350146
21,5.357897063254608,5.214152304588466
22,5.3907923781495715,5.149262200584922
23,5.347322780520523,4.993362360945079
24,5.258887923850967,5.187258267711711
25,5.254202785427384,5.179917146043915
26,5.186003984847137,5.178569006359618
27,5.136607962555095,5.126191201696839
28,5.285397988508652,5.047672013900172
29,5.2114667656400835,5.039616508713424
30,5.197853192215453,5.111724038485514
31,4.985817556396541,5.029877546190572
32,5.09438446268788,4.831482419234586
33,5.025513391645289,4.829302722690667
34,5.041170232632022,4.767474402154981
35,4.888397134079656,4.770614098423273
36,4.916389067603962,4.649584580173736
37,4.9122411662664645,4.637137876021543
38,4.785862950560118,4.630512510540956
39,4.85034721833305,4.6322584376804645
40,4.9101258398461045,4.8908326369114254
41,5.09637269505928,4.898050796918883
42,5.065030317949494,4.89896928202732
43,4.9922619316572865,4.853675768371139
44,5.020243995882708,4.862754414789935
45,5.177463538409615,4.901099290890496
46,5.228470645496867,5.029341970386531
47,5.28346871561634,5.109427877309861
48,5.367156127707497,5.1775794000323705
49,5.281200919368427,5.165598909658404
50,5.315883093287069,5.193098072738031
51,5.353189561812566,5.210398843775247
52,5.587374617670365,5.269517842096371
53,5.789448942038557,5.265551236705213
54,5.629726330391688,5.523688078347364
55,5.520799860898352,5.322017027050325
56,5.546362418443445,5.532984292497268
