,Kampala,Busia
0,6.549089386259069,6.484273434130676
1,6.57731738494635,6.5097193815338565
2,6.508516266089075,6.487370746174096
3,6.5350117303239434,6.480575301000738
4,6.671906240070198,6.54795668949815
5,6.609243981810443,6.549507351979704
6,6.518885743973179,6.504827322206012
7,6.551381020928636,6.544519930548691
8,6.590888743798449,6.333078952381815
9,6.615933575438553,6.351968029604088
10,6.429005350510378,6.348159339610958
11,6.477066337580395,6.326456781179954
12,6.415933580826795,6.30475379309067
13,6.41956825017436,6.336876534329248
14,6.413894752112181,6.333496132248131
15,6.5409626921290025,6.44080757466837
16,6.556107830249778,6.459829224395914
17,6.608326833396764,6.5521888183429535
18,6.577396609166684,6.557256755296448
19,6.398114045424532,6.472967513574678
20,6.381882860752918,6.362495507720011
21,6.434986174328529,6.358446097206194
22,6.500073397992073,6.477459806090242
23,6.509105407369265,6.52600340998999
24,6.612564378292032,6.527799111664322
25,6.61245173027075,6.521873300117559
26,6.607299149439882,6.5682621866316495
27,6.745817624305464,6.755208606620563
28,6.774305041813348,6.8144264820429035
29,6.8258503343514345,6.836408044213878
30,6.821446658547321,6.763172859837966
31,6.829929019268972,6.755151279648352
32,6.822144105081133,6.757273450876662
33,6.487855737885357,6.5686053536510105
34,6.424615244241879,6.45524907719179
35,6.357738960360644,6.335859699897743
36,6.4321771310093,6.39597073814894
37,6.471522643595779,6.452166065288748
38,6.467893350509074,6.478555173605915
39,6.474676016540806,6.474503260213176
40,6.498616292278132,6.490188802656174
41,6.618651356660965,6.587247809928879
42,6.606987185198222,6.499956941318101
43,6.390068687798257,6.395096163241861
44,6.372593103411213,6.283574874774027
45,6.297843655052759,6.212372552833423
46,6.337612621164375,6.209992795585473
47,6.404257397307855,6.35076064995387
48,6.393921507173515,6.306302535228485
49,6.420267192626407,6.359145339474154
50,6.440989810081778,6.384164618504159
51,6.563914749160479,6.585852906913254
52,6.597736688584924,6.583474574587587
53,6.604789438391978,6.551717638267006
54,6.719797648914258,6.564760051068772
55,6.724293251975721,6.562364558744907
56,6.70807347665705,6.631283818798617
57,6.376134705826333,6.258538428971502
58,6.141810678834342,6.057030870876536
59,6.154170225733569,6.0213704836787825
60,6.134606957780981,5.955502967877606
61,6.128450955290582,5.960273905882792
62,6.131779170741259,5.956033494853461
63,6.115762704359025,6.056329551764917
64,6.22424496797063,6.05218165042742
65,6.2386891236697295,6.133655764325432
66,6.288082666972602,6.126954902622973
67,6.223781017326023,6.132401458663641
68,6.138293314353324,5.996663085586993
69,6.146186949806263,5.94231889202038
70,6.148032634165344,6.041642782338404
71,6.154407268815136,6.064048048055822
72,6.309652122611329,6.19304763747439
73,6.373813365371398,6.266651194980059
74,6.418604935085321,6.4511225008960125
75,6.446507810833791,6.477744607422322
76,6.445987944428703,6.470879912437218
77,6.546800532856457,6.490652074375765
78,6.596983860325174,6.551501210703764
79,6.611633926220768,6.604173346422462
80,6.664647080013183,6.590809707238734
81,6.64740628814655,6.5736796800094
82,6.466583346997119,6.473166649246316
83,6.547946551878453,6.457991137211788
