,Arusha,Kisumu
0,5.3161332504449055,5.663050592336632
1,5.313708138404248,5.658422997047921
2,5.30891085511358,5.603264899627125
3,5.731657082610951,5.658435682791919
4,5.7245594047698205,5.649614801044308
5,5.721962954176504,5.6453157285155475
6,5.617142605034944,5.644411917069104
7,5.400440642658901,5.661726557228723
8,5.399964071637734,5.662286980255242
9,5.39768511652383,5.656204742720281
10,5.296231023149782,5.802409186260294
11,5.291335463523213,5.798528843119516
12,5.395121450512922,5.795368494635372
13,5.3918837370684916,5.792136561535243
14,5.357856917668446,5.791749730263689
15,5.39836341672408,5.790034499001399
16,5.403761418458451,5.79116715685274
17,5.43679595632625,5.788058315131654
18,5.44444472114339,5.784959108361613
19,5.534579538846854,5.779982896630039
20,5.649944168589701,5.77430474846033
21,5.75282669928617,5.768359647969329
22,5.794338779709701,5.763139938819203
23,5.827777437084094,5.756721464185711
24,5.869704669993074,5.747452117001923
25,5.930973454855508,5.852975591899102
26,5.986426665467563,5.852145456585041
27,6.031250271040776,5.964318411082766
28,6.11528598802862,6.057741573514864
29,6.111559480006191,6.045890772185865
30,6.268523178429757,6.1341510512095425
31,6.261541545051247,6.2214516905106825
32,6.1877713548258875,6.219830190693429
33,6.183889545754441,6.230121695754557
34,6.006220888349961,6.234106630229812
35,5.7846371836482176,6.236415078500186
36,5.497595701740491,6.0489982865163086
37,5.514044262101511,5.938092164952554
38,5.499299789558962,5.832822456095262
39,5.4992076023025565,5.838244418011139
40,5.412854321800954,5.838868489147492
41,5.408898442850501,5.789942314452403
42,5.380760254795821,5.595333601459176
43,5.54110921613512,5.691082366106241
44,5.53579587677543,5.6812723892289725
45,5.4499121698897035,5.7570714098044515
46,5.259386746576515,5.67054198068604
47,5.257175820927511,5.748978841888254
48,5.25021947087972,5.670452751457429
49,5.3430828702914175,5.741984323720734
50,5.34498329758997,5.575087141284258
51,5.391339105961063,5.54308517019238
52,5.253218435175246,5.516384814767096
53,5.031718853651894,5.51754129358232
54,4.900092483650358,5.521002374922609
55,4.902001142312378,5.339466838321893
56,4.901519197262282,5.330396879833921
57,4.739282205158855,5.507666154635059
58,4.9023315780284715,5.44265043059901
59,4.969585316326035,5.512297429154828
60,5.029941707869589,5.513197636284299
61,5.028424999593834,5.5107485676315795
62,5.025798518342362,5.527413550334973
63,5.136507602734529,5.4941026261324355
64,5.188366307921746,5.5611286309050945
65,5.218885617578165,5.65008736520297
66,5.184950383554069,5.493305968234323
67,5.114944618859133,5.437422675972245
68,5.1628664932766215,5.427966688336249
69,5.1313885312131235,5.422118501286266
70,5.128853674501414,5.476715704823058
71,5.141140312830274,5.476130764378098
72,5.2216896097719925,5.620836033319873
73,5.240051789536639,5.878614745410771
74,5.213997725698514,5.874398484848228
75,5.3096563986669185,5.872401062298474
76,5.746956373572211,5.717985684444245
77,5.686171358715641,5.718253174917198
78,5.807795590512352,5.714671083395043
79,5.688434236107429,5.740418591141374
80,6.042551197210232,5.904179009916696
81,5.823283862802259,5.896530832160317
