,Mbale,Kasese
0,5.380096300829159,5.348347602514579
1,5.315108037028888,5.266285508327007
2,5.24560092612969,5.195917505983043
3,5.28347200357132,5.185958910135953
4,5.291061483717872,5.221032879357389
5,5.334696527843346,5.223111132440883
6,5.492372641406479,5.527192406565706
7,5.5871529054176285,5.497373022466234
8,5.55801951760426,5.490471258621478
9,5.518558680276081,5.485513885498625
10,5.458544154826388,5.429794741540402
11,5.426834949349819,5.3589575269467336
12,5.404544618028637,5.397093811872772
13,5.454821743197266,5.4159222635835285
14,5.529090150862232,5.409913386757244
15,5.532587026491551,5.408099538487851
16,5.554161960903257,5.500594215194037
17,5.6617284787816615,5.526585482262797
18,5.73312151298501,5.500995865354972
19,5.757206829097955,5.546280461722336
20,5.732843320098814,5.546067412955479
21,5.704078414783624,5.54585440956873
22,5.685238653062714,5.556347597857354
23,5.874231226657774,5.587182265971364
24,5.999119475863482,5.628726455502891
25,5.996356259907167,5.476937271098081
26,5.991297558814167,5.615586711787795
27,5.983435180334269,5.785360236914406
28,6.022404210803276,5.93045064721963
29,5.938288464858283,5.869718158346983
30,5.629472606775861,5.797147848052577
31,5.373399411927151,5.798202139185474
32,5.372561740665815,5.487085169245161
33,5.368581761113166,5.4286507073063754
34,5.526976439104388,5.423792202869158
35,5.567445339952891,5.523922370018485
36,5.467556005469715,5.61415947966159
37,5.294200015198664,5.699665123306827
38,5.399799209635835,5.504657086429095
39,5.221686419060612,5.509969272545783
40,5.151747804826485,5.509835631923639
41,5.147636934939538,5.399951863554027
42,5.1529607047350146,4.997954958588023
43,5.138928883350879,5.364153600868913
44,5.149262200584922,5.398856937986302
45,5.149232731651864,5.340960086732695
46,5.144268082780344,5.2955299611516224
47,5.039616508713424,5.031057255317754
48,5.106418986255821,4.957573358658255
49,5.088471710456624,4.92706805232435
50,5.072644476051474,4.736172239430261
51,5.067713746135665,4.733992542886342
52,4.852632210495289,4.666220668449808
53,4.576458083982315,4.4730797295284805
54,4.603064564538843,4.502981105981861
55,4.637137876021543,4.522474967701403
56,4.630512510540956,4.523722180934396
57,4.752465479950549,4.527454514461543
58,4.943140500340458,4.651334710704814
59,4.944059829839408,4.652254040203766
60,4.949208222765956,4.683771759261495
61,5.127453117834954,4.942049894503591
62,5.131306897043219,5.057198924889497
63,5.135136234020068,5.033716055574165
64,5.279048860197229,5.031486781534874
65,5.289896626335981,4.774732600971392
66,5.286030130137388,4.711146870071177
67,5.27784012457078,4.660042381252621
68,5.61253317730652,5.081759205498516
69,5.609203151428446,5.377469152909199
70,5.6081538451375605,5.427699702518401
