,Eldoret,Tororo
0,6.5975990927843515,6.296387032703314
1,6.529172917320767,6.320586014466734
2,6.542853543726102,6.344213214797799
3,6.575399588706978,6.363161473397284
4,6.566243885146357,6.481904996602015
5,6.562791194386278,6.429551051454128
6,6.6083439324601665,6.1874863909384645
7,6.565447817194299,6.2517202319590135
8,6.573465456687939,6.357125011186533
9,6.489935121849543,6.342784438973655
10,6.455646589205965,6.3932870748988515
11,6.394382903282802,6.388736192476026
12,6.2974354618860255,6.47410698873742
13,6.242893982776978,6.512793301594033
14,6.292614325884049,6.547504969030527
15,6.323245129490702,6.541587156469973
16,6.351516813718182,6.441994004612874
17,6.3927406716863295,6.374409866289913
18,6.387398856375553,6.294226504471901
19,6.427257504704034,6.289492503883714
20,6.48159495742286,6.394385161243428
21,6.618715381050426,6.540097754301309
22,6.596195810441369,6.577578956256621
23,6.58279703260344,6.6115778845739985
24,6.634620509036087,6.638905517956219
25,6.642439167868435,6.641214923006386
26,6.688841229613597,6.825240168977693
27,6.690197077351437,6.834685450311611
28,6.735312768732915,6.843377829081585
29,6.732615095060158,6.848876293235224
30,6.831905765651529,6.55213886379743
31,6.690545688143479,6.319800331943955
32,6.693505028047079,6.32383068556651
33,6.642163593156939,6.367735363778243
34,6.637693422977616,6.368444483235205
35,6.632377649562559,6.363348068111329
36,6.63866360280412,6.402890709992056
37,6.61629104235757,6.39953937633255
38,6.649234530454639,6.51408323407154
39,6.630725493818413,6.510595339523157
40,6.6387771033736165,6.421128797400659
41,6.604964871670312,6.29596660706919
42,6.627477743147643,6.203880881695268
43,6.723849723317328,6.222371379818112
44,6.742109040732414,6.296693428683594
45,6.733019947164562,6.286661969353938
46,6.785883385452971,6.293222309231491
47,6.744265597927602,6.338144228160699
48,6.730807116111072,6.493716170514268
49,6.701018483002359,6.524300611548169
50,6.6886338926961315,6.520355067806187
51,6.695339231698333,6.644707197559189
52,6.589572339532062,6.542805529109412
53,6.582430915839419,6.30130810535935
54,6.540337784534935,6.00530430091895
55,6.473177489950581,6.022433748000113
56,6.421041544792106,6.06290222022528
57,6.367348986724408,5.986883014610757
58,6.309279455127117,6.050321702162092
59,6.284368678675764,6.0338106882295675
60,6.2793163966829475,6.0801275808179795
61,6.300100662450232,6.1204853011356875
62,6.3317383350390655,6.126011951115102
63,6.315544108809236,6.024536245390805
64,6.271993364470966,5.911409693228261
65,6.252926015396951,5.921652255211821
66,6.282559986496706,5.924889082851135
67,6.305925055153349,6.0478205114340655
68,6.43036633939427,6.146022698829527
69,6.407574454727711,6.246782991763333
70,6.433428729692819,6.253849702009266
71,6.399875275589595,6.359961571765939
72,6.44589514813056,6.372508573657649
73,6.460883859100299,6.364233547174291
74,6.539691414987289,6.530603093066148
75,6.599507788191578,6.496239502871641
76,6.767628949632836,6.385439196322043
77,6.76523353529331,6.468615407132018
