,Makueni,Arusha
0,5.672257771114077,5.30891085511358
1,5.607201430095136,5.731657082610951
2,5.462824809370439,5.721962954176504
3,5.333949816285504,5.617142605034944
4,5.349462241371606,5.400440642658901
5,5.481943663473394,5.399964071637734
6,5.472726447798502,5.39768511652383
7,5.467497122992928,5.296231023149782
8,5.462340657061212,5.291335463523213
9,5.536619845038593,5.395121450512922
10,5.533469158949079,5.3918837370684916
11,5.533082327677524,5.357856917668446
12,5.5313670964152335,5.39836341672408
13,5.567668428834388,5.403761418458451
14,5.564559587113302,5.43679595632625
15,5.559682602097261,5.44444472114339
16,5.624883450128195,5.534579538846854
17,5.619678783453023,5.649944168589701
18,5.614208968142071,5.75282669928617
19,5.607915721583421,5.794338779709701
20,5.601256645229004,5.827777437084094
21,5.593780938502481,5.869704669993074
22,5.723653190756857,5.930973454855508
23,5.852145456585041,5.986426665467563
24,5.845122746289084,6.031250271040776
25,5.834345209659806,6.11528598802862
26,5.824267363044296,6.111559480006191
27,6.04216558817297,6.268523178429757
28,6.038454229669367,6.261541545051247
29,6.139219946114761,6.1877713548258875
30,6.135997253363657,6.183889545754441
31,6.144547481161383,6.006220888349961
32,6.063235281664326,5.7846371836482176
33,5.827897636831899,5.497595701740491
34,5.821020721157123,5.514044262101511
35,5.829008084019791,5.499299789558962
36,5.748807832035669,5.4992076023025565
37,5.661610234310085,5.412854321800954
38,5.649511699367608,5.408898442850501
39,5.461348591226512,5.380760254795821
40,5.533103930409219,5.54110921613512
41,5.493764995402652,5.53579587677543
42,5.488603902297297,5.4499121698897035
43,5.519252533139814,5.259386746576515
44,5.478688512148342,5.257175820927511
45,5.482449361196043,5.25021947087972
46,5.326627938133827,5.3430828702914175
47,5.329098957286026,5.34498329758997
48,5.1552346087851975,5.391339105961063
49,5.1597098708283635,5.253218435175246
50,5.164205250909102,5.031718853651894
51,5.174496609311817,4.900092483650358
52,5.161121429907578,4.902001142312378
53,5.156043492689143,4.901519197262282
54,5.241962988902053,4.739282205158855
55,5.288499750771752,4.9023315780284715
56,5.288858747214537,4.969585316326035
57,5.289217614825124,5.029941707869589
58,5.327083827291157,5.028424999593834
59,5.31777835669995,5.025798518342362
60,5.308385480337343,5.136507602734529
61,5.310717953250545,5.188366307921746
62,5.311860916860842,5.218885617578165
63,5.313002575596607,5.184950383554069
64,5.35619723604966,5.114944618859133
65,5.315277230296298,5.1628664932766215
66,5.309640517859576,5.1313885312131235
67,5.301725070564156,5.128853674501414
68,5.252987213063888,5.141140312830274
69,5.469077126936084,5.2216896097719925
70,5.3670513864582405,5.240051789536639
71,5.620864299829009,5.213997725698514
72,5.618866877279254,5.3096563986669185
73,5.679420655000553,5.685438107137704
74,5.72055307994949,5.746956373572211
75,5.742961432185641,5.686171358715641
76,5.7166284147808275,5.807795590512352
77,5.68958317226612,5.688434236107429
