,Masindi,Busia
0,6.465225239159982,6.484273434130676
1,6.455271570344619,6.5097193815338565
2,6.458589092132568,6.487370746174096
3,6.492322866350689,6.480575301000738
4,6.679165800083002,6.54795668949815
5,6.679861549024396,6.549507351979704
6,6.676941645377108,6.504827322206012
7,6.702156046269875,6.544519930548691
8,6.7014573486616476,6.333078952381815
9,6.696148575961132,6.351968029604088
10,6.689633670863659,6.348159339610958
11,6.497408484717015,6.326456781179954
12,6.482272895773473,6.30475379309067
13,6.506644149537146,6.336876534329248
14,6.523361731526907,6.333496132248131
15,6.523105074728996,6.44080757466837
16,6.593452490785948,6.459829224395914
17,6.588568383098891,6.5521888183429535
18,6.501129119006803,6.557256755296448
19,6.47904873424721,6.472967513574678
20,6.279218116108922,6.362495507720011
21,6.300161239991715,6.358446097206194
22,6.420259995524769,6.477459806090242
23,6.429318290751434,6.52600340998999
24,6.422438596006496,6.527799111664322
25,6.502437728059688,6.521873300117559
26,6.576508348170308,6.5682621866316495
27,6.569405482771316,6.755208606620563
28,6.5664279873774465,6.8144264820429035
29,6.597569785439308,6.836408044213878
30,6.590755438475138,6.763172859837966
31,6.586698709388025,6.755151279648352
32,6.578006596294953,6.757273450876662
33,6.5860404154731125,6.5686053536510105
34,6.591907192610265,6.45524907719179
35,6.451292870809253,6.335859699897743
36,6.41053682201548,6.39597073814894
37,6.527440987522891,6.452166065288748
38,6.525614734516767,6.478555173605915
39,6.592977142183737,6.474503260213176
40,6.586298810232551,6.490188802656174
41,6.5810939443545005,6.587247809928879
42,6.259280911242251,6.499956941318101
43,6.247240634735078,6.395096163241861
44,6.100754440444159,6.283574874774027
45,6.096423615231827,6.212372552833423
46,6.0930990441139725,6.209992795585473
47,6.201628316886867,6.35076064995387
48,6.191351789549613,6.306302535228485
49,6.534912024138188,6.359145339474154
50,6.534237601941882,6.384164618504159
51,6.530562443900234,6.585852906913254
52,6.487981003885049,6.583474574587587
53,6.519704661279193,6.551717638267006
54,6.511175804934666,6.564760051068772
55,6.510090070492864,6.562364558744907
56,6.536089306104479,6.631283818798617
57,5.804871219045459,6.258538428971502
58,5.787024309583478,6.057030870876536
59,6.012823423100325,6.0213704836787825
60,6.010643726556405,5.955502967877606
61,5.866086690823091,5.960273905882792
62,6.050321702162092,5.956033494853461
63,6.0338106882295675,6.056329551764917
64,6.022390027562991,6.05218165042742
65,6.014703821464067,6.133655764325432
66,6.020651435457276,6.126954902622973
67,6.023490766989252,6.132401458663641
68,6.27462060814678,5.996663085586993
69,6.094844876120637,5.94231889202038
70,6.042672118507518,6.041642782338404
71,6.049863413063866,6.064048048055822
72,6.194812862998959,6.19304763747439
73,6.373813365371398,6.266651194980059
74,6.382810133007966,6.4511225008960125
75,6.456353417441004,6.477744607422322
76,6.368100043372883,6.470879912437218
77,6.364233547174291,6.490652074375765
78,6.469124069085033,6.551501210703764
79,6.530685529327375,6.604173346422462
80,6.558233536804122,6.590809707238734
81,6.790396932878082,6.5736796800094
82,6.5634534959184165,6.473166649246316
83,6.511285099155636,6.457991137211788
