,Kampala,Nairobi
0,5.969865126935269,6.453865457880394
1,5.8855170059367845,6.453298472352992
2,5.958950814007155,6.460715131478347
3,5.955617794596877,6.447810895446418
4,5.9640798968472035,6.429808608959609
5,5.916258313000828,6.432925990142166
6,5.984397783085841,6.21768879223459
7,6.0087147913069865,6.1302804606328944
8,5.992603814703873,6.068851593696824
9,5.928847986257203,6.061394558328427
10,6.000340059619703,6.053960160964539
11,5.998142305638953,6.049685430661399
12,5.986408941062014,6.047629444520308
13,6.059513895246804,6.045032517901609
14,6.206733056318419,6.042985016444914
15,6.178142286718774,6.040715615038211
16,5.931330274039128,6.041218161086874
17,5.971917235529052,6.038109319365788
18,6.038237994467524,6.035010112595748
19,6.135130873309249,6.03145536521155
20,6.18503626172917,6.025698368980438
21,6.245436340302469,6.019674076250235
22,6.303407971945689,6.013659264887592
23,6.426360802458954,6.006442774398269
24,6.424294917311788,6.019180261511463
25,6.46784330130732,5.992904959003284
26,6.438182518753147,6.013006962359227
27,6.456406483124705,6.284362171515853
28,6.433756537325549,6.286332567224342
29,6.444134157483775,6.241073741814742
30,6.411815898740327,6.2926874606843874
31,6.6167693122360465,6.347440474258508
32,6.609154152421307,6.3482033961498265
33,6.651157472929973,6.512817315374903
34,6.598349920832463,6.607512774506386
35,6.528490626350559,6.570821173612569
36,6.122483898456167,6.583520571422768
37,6.177429919199405,6.521044817391844
38,6.219172051891497,6.490850783161839
39,6.221904564035328,6.526603953200421
40,6.21706955057843,6.591569359577223
41,6.260786644586643,6.397758850863217
42,6.25757878317172,6.342658879927553
43,6.0959569293486515,6.369631593449638
44,6.490122621510149,6.398875541394341
45,6.202083936018567,6.368116483939922
46,6.199259239942363,6.495651511948429
47,6.20072944042185,6.357377924436673
48,6.085991273891787,6.317256086855823
49,6.093007630923488,6.332725483816878
50,6.091974649613189,6.358103242073966
51,6.110455785799122,6.47934895804192
52,6.083188164709767,6.429551372752986
53,6.085738614760137,6.201102145321219
54,6.056185647326365,6.279078734858332
55,5.909885772883303,6.2835597947718185
56,5.899323049235942,6.15823870093949
57,5.840267704300021,6.499832687846701
58,5.649097005083259,6.366634955990751
59,5.467431007872181,6.474909100240721
60,5.628345580121404,6.49853523115064
61,5.526399935507779,6.488495407646785
62,5.689119464595366,6.489969424879569
63,5.69957371962666,6.493962453213951
64,5.700318809555521,6.425466915017677
65,5.778881477414169,6.480611873555382
66,5.824251725093439,6.477342641357958
67,5.860350561713563,6.408357388521492
68,5.798257397085895,6.475518823721275
69,5.789347754890795,6.414344634863005
70,5.865071969663276,6.535353843673951
71,5.870525719778315,6.452242129212523
72,5.948900478153654,6.41322660876446
73,5.856292101256782,6.47229517285478
74,5.783783672336026,6.459633077198647
75,5.841175693608735,6.480432373574967
76,5.9040897218658595,6.446346539522169
77,6.012072877856533,6.37428180874592
78,6.016729375660117,6.4462920911118236
79,6.017236747212243,6.427890515225002
80,6.031614643169441,6.436527977286944
81,6.138397671441232,6.414684047901625
82,6.033906762562189,6.691824166369745
83,5.917209673028302,6.619727341583642
84,5.706072661330043,6.607407426637899
85,5.706978502181697,6.6045325069712995
86,5.780334941770064,6.604461555077824
87,5.706477203017882,6.601217905922097
88,5.699239051090859,6.599281922458123
89,6.04807999073588,6.607869104928533
90,5.905718291584433,6.610584272269105
91,5.9037179594778175,6.609132242999927
92,5.842217143333874,6.606325381795201
93,5.9312467090679695,6.587843881012934
94,5.840858504086831,6.566662998538702
95,5.614840536866957,6.5858497995202985
96,5.617571013347163,6.582344297294791
