,Mbale,Eldoret
0,5.380096300829159,5.40235996842717
1,5.315108037028888,5.485834693801714
2,5.24560092612969,5.562256875899748
3,5.28347200357132,5.563125502987594
4,5.291061483717872,5.5472578543800175
5,5.334696527843346,5.540989582219774
6,5.492372641406479,5.5852044312251925
7,5.5871529054176285,5.614821837749787
8,5.55801951760426,5.6116514697897
9,5.518558680276081,5.736872287953763
10,5.458544154826388,5.702791461199394
11,5.426834949349819,5.669684032815304
12,5.404544618028637,5.5313670964152335
13,5.454821743197266,5.565890650588389
14,5.529090150862232,5.562781808867302
15,5.532587026491551,5.559682602097261
16,5.554161960903257,5.556127854713065
17,5.6617284787816615,5.618013504133962
18,5.73312151298501,5.58030741646639
19,5.757206829097955,5.573927743219124
20,5.732843320098814,5.570668024203145
21,5.704078414783624,5.641291921173533
22,5.685238653062714,5.635911086661275
23,5.687940930497865,5.827643908543224
24,5.722318971851242,5.819348123600469
25,5.874231226657774,5.769808922343714
26,5.999119475863482,5.807437756739882
27,5.996356259907167,5.983108652229409
28,5.991297558814167,5.959753612171627
29,5.983435180334269,5.998624812023313
30,6.022404210803276,5.959846070158149
31,5.938288464858283,5.9888055438607015
32,5.629472606775861,5.996869315839742
33,5.373399411927151,5.85614021922058
34,5.372561740665815,5.8020564056480115
35,5.368581761113166,5.772486606150529
36,5.526976439104388,5.783397572767739
37,5.567445339952891,5.718719359584662
38,5.467556005469715,5.763783859039392
39,5.294200015198664,5.649511699367608
40,5.399799209635835,5.553816903873834
41,5.221686419060612,5.554973270008276
42,5.151747804826485,5.521318248844151
43,5.147636934939538,5.459230470500578
44,5.1529607047350146,5.469216360284354
45,5.138928883350879,5.46268546713954
46,5.149262200584922,5.481115631967288
47,5.149232731651864,5.49897092403976
48,5.144268082780344,5.49549659756693
49,5.139302426889725,5.52262078757555
50,5.132759470328324,5.481896746596045
51,5.126191201696839,5.478688512148342
52,5.123795709372973,5.482449361196043
53,5.039616508713424,5.475938750862315
54,5.106418986255821,5.473526941134762
55,5.088471710456624,5.246206386990925
56,5.072644476051474,5.206229886463256
57,5.067713746135665,5.206169450008134
58,4.852632210495289,5.162662151664815
59,4.576458083982315,4.949812336240371
60,4.603064564538843,4.822899046160605
61,4.637137876021543,4.879057495212685
62,4.630512510540956,4.8184961215260165
63,4.562665145881269,4.883897777989041
64,4.74422916271955,4.820050455724354
65,4.752465479950549,4.8108673548902905
66,4.943140500340458,4.86663165427706
67,4.944059829839408,4.983277002366445
68,4.949208222765956,5.088590146056171
69,5.127453117834954,5.040090552975195
70,5.131306897043219,5.184068892220713
71,5.135136234020068,5.191413299921033
72,5.279048860197229,4.98633127202233
73,5.289896626335981,5.037706802375934
74,5.286030130137388,5.077086378178995
75,5.27784012457078,5.210427598645093
76,5.61253317730652,5.431594033681344
77,5.609203151428446,5.438255832750031
78,5.6081538451375605,5.649035176795705
