,Kasese,Kampala
0,6.465979102746381,6.549089386259069
1,6.364481043498774,6.57731738494635
2,6.455550730509163,6.508516266089075
3,6.491592672816966,6.5350117303239434
4,6.500814650959307,6.671906240070198
5,6.5661715702829815,6.609243981810443
6,6.56363709979081,6.518885743973179
7,6.628025456078266,6.551381020928636
8,6.737551926612268,6.590888743798449
9,6.493901525492754,6.615933575438553
10,6.536175751715301,6.429005350510378
11,6.5393086464576164,6.477066337580395
12,6.5230073591106885,6.415933580826795
13,6.525625387246635,6.41956825017436
14,6.5629303312726694,6.413894752112181
15,6.561512514144189,6.5409626921290025
16,6.555773996162218,6.556107830249778
17,6.549849635989781,6.608326833396764
18,6.542930340016441,6.577396609166684
19,6.5236865490992715,6.398114045424532
20,6.533567448084982,6.381882860752918
21,6.468579891616678,6.434986174328529
22,6.462571193596491,6.500073397992073
23,6.462358144829634,6.509105407369265
24,6.462145141442885,6.612564378292032
25,6.494460786202137,6.61245173027075
26,6.58557784270099,6.774305041813348
27,6.598182718342347,6.8258503343514345
28,6.4811770265378295,6.821446658547321
29,6.438389706434408,6.829929019268972
30,6.431272514122744,6.822144105081133
31,6.515723917055652,6.487855737885357
32,6.52673237592274,6.424615244241879
33,6.48892797440099,6.357738960360644
34,6.491349319745419,6.4321771310093
35,6.493243890620956,6.471522643595779
36,6.486934950587513,6.467893350509074
37,6.483668770360596,6.474676016540806
38,6.477104230830453,6.618651356660965
39,6.580822017459036,6.606987185198222
40,6.552848923455012,6.390068687798257
41,6.465480717573219,6.372593103411213
42,6.3859779967870125,6.297843655052759
43,6.37978061623217,6.337612621164375
44,6.2735519001219,6.404257397307855
45,6.373673346343568,6.393921507173515
46,6.381191082177448,6.420267192626407
47,6.3819132104237015,6.440989810081778
48,6.3827299692105095,6.563914749160479
49,6.3868037865875475,6.70807347665705
50,6.366752013611734,6.376134705826333
51,6.24072322980427,6.141810678834342
52,6.128219253039601,6.154170225733569
53,5.964532374597,6.134606957780981
54,5.935244157816957,6.128450955290582
55,5.9935241037689595,6.131779170741259
56,5.825055874367457,6.115762704359025
57,5.965538258722532,6.22424496797063
58,6.041704423282574,6.2386891236697295
59,6.048560223574353,6.288082666972602
60,6.2689769936693915,6.223781017326023
61,6.272174622418519,6.138293314353324
62,6.120845377845783,6.146186949806263
63,6.147106279305214,6.148032634165344
64,6.0478205114340655,6.154407268815136
65,6.040662183171701,6.309652122611329
66,6.047597628917374,6.373813365371398
67,5.996118139407725,6.418604935085321
68,5.993888865368435,6.446507810833791
69,5.981960969757094,6.445987944428703
70,6.187492853741926,6.546800532856457
71,6.183641249773915,6.596983860325174
72,6.387632373995921,6.611633926220768
73,6.341989667879001,6.664647080013183
74,6.343990434392556,6.64740628814655
75,6.3825697538940895,6.466583346997119
76,6.408733574108865,6.547946551878453
