,Makueni,Nairobi
0,6.744210224043156,6.850134914610164
1,6.624184869148137,6.849735160492912
2,6.641520506286292,6.8645397490665605
3,6.761998774256769,6.915992455889184
4,6.754266370581524,6.955187404001223
5,6.747107341524484,6.948831064537871
6,6.743936973564398,6.944306600230055
7,6.846468211755837,6.942049186344503
8,6.842101126031313,6.946164689344923
9,6.842212675034215,6.9462269934952445
10,6.839999063497468,6.943163750346061
11,6.840278801747819,6.9450421241959
12,6.837169960026733,6.941933282474813
13,6.834070753256692,6.9386100362728955
14,7.012008031304075,6.934382869273539
15,7.005973144572913,6.927921658868566
16,7.000503329261961,6.92254178779225
17,6.950451100534571,6.916948244452567
18,6.900387468677291,6.909702542280784
19,6.892453608301927,6.912848604823
20,6.868885098307008,6.879978348189089
21,6.863398884620713,6.813519155821566
22,6.763447032499003,6.742404429030368
23,6.76180013802081,6.7434696858768275
24,6.75391752973697,6.7309748971348045
25,6.740051637576656,6.937123713238327
26,6.8170703415862315,6.723580933077895
27,6.733627753374544,6.862594086080313
28,6.736595585847204,6.918917142641159
29,6.9096167871461756,6.734997450714313
30,6.837694661721328,6.764585191897196
31,6.7472407022661764,6.839996602265405
32,6.7431674395719465,6.847582666910338
33,6.737567502194116,6.7840875178290085
34,6.745553560513844,6.826732031130862
35,6.698553266927505,6.8919829141380236
36,6.649234530454639,6.754143476901811
37,6.738850351250389,6.737814618376857
38,6.755414007099377,6.736894959332139
39,6.756570373233819,6.736492478697291
40,6.753389083660699,6.7518580805548085
41,6.749449052697467,6.731676530817233
42,6.742619896426794,6.73286872857899
43,6.5428810290214185,6.713360752204424
44,6.375822792174269,6.716442261281928
45,6.383512957599335,6.820726764022079
46,6.375855320215022,6.8266658924364245
47,6.369679727880385,6.795454701147532
48,6.628978686106459,6.65984862004232
49,6.568684994934784,6.659054816764169
50,6.1162255195772595,6.360634965102319
51,6.025208435862414,6.365110227145485
52,6.210688474142265,6.499832687846701
53,6.169924661744696,6.438290944897186
54,6.212608833725317,6.436750223139949
55,6.207530896506882,6.429675613045191
56,6.280856042868541,6.4219548838385405
57,6.20312242554521,6.477993233832854
58,6.283612474715751,6.493962453213951
59,6.358103723228033,6.430157040868091
60,6.35612704163298,6.423004324293556
61,6.340585471507749,6.389637060938853
62,6.32479854270489,6.448309439533206
63,6.342078014909487,6.476152738164056
64,6.44337812268831,6.4769465579129
65,6.535353843673951,6.41964703596198
66,6.485736571466569,6.4209079730420875
67,6.5957691844564295,6.508657350387003
68,6.644014821801107,6.592006318184378
69,6.608225696998227,6.553918725067488
70,6.639262124379034,6.456960017389824
71,6.669364217590571,6.460717296052026
72,6.6746858472233495,6.6746858472233495
73,6.763265605620779,6.863783054289599
74,6.669688502111016,6.8543383486645615
75,6.841993085395108,6.921842013395526
76,6.834854370271537,6.923450998784079
77,6.827664327259632,6.918950045320755
78,6.8284733274976945,6.9755659902614235
79,6.829281673783383,6.974806897716756
80,6.732620083456497,6.921444217738019
81,6.857713115249154,6.917661375862936
82,6.876463706498625,6.779293171834601
83,6.894869174417017,6.779838253727508
