,Soroti,Busia
0,6.04131048195558,6.100676423779259
1,6.067679170932938,6.1362544186927925
2,6.221705147107435,6.164756795236539
3,6.218606555244162,6.2114316365718665
4,6.438389706434408,6.197920491212758
5,6.216049695558607,6.170337898271727
6,6.119623341749793,6.01459182757544
7,5.71903860700354,5.852293004104387
8,5.719241836835949,5.850179194283425
9,5.800096710061011,5.909813344777106
10,5.933728619282173,5.9126371474713375
11,5.90105695564276,5.93184719355464
12,5.823103905767166,5.877032247792721
13,5.617400973585761,5.797562702326286
14,5.656328809819859,5.822725216064055
15,5.766673222085411,5.758281564449163
16,5.607733441311675,5.730587114417018
17,5.604900743720365,5.67509115495089
18,5.602076047644162,5.719617573288181
19,5.686539010438083,5.842409381144868
20,5.767478604038691,5.844953916206982
21,5.904856544135821,5.891374481824263
22,5.758540898024515,5.935735433566636
23,5.752999880080181,5.9540524735802
24,5.7432146867839835,6.074426947692899
25,5.7408191944601175,6.072031455369033
26,5.732763689273369,6.065576641469793
27,5.732186734676591,6.110252868596641
28,5.720147026922902,6.04469993356747
29,5.775922780561859,5.97454647047353
30,5.828751262238462,5.925581288012556
31,5.931781950088486,5.922490361754386
32,5.869226387091382,5.914221256944892
33,5.852730596523678,5.9058832035014115
34,5.841110680347479,5.969943552190448
35,5.896394331465438,6.0168068716608465
36,6.126011951115102,6.020651435457276
37,6.0276661383997325,6.084361482076278
38,6.028411783901574,6.094901525170407
39,6.037629071824705,6.113211752990712
40,6.042672118507518,6.102570260088587
41,6.0478205114340655,6.118856284550818
42,6.069061657693399,6.17522185352179
43,6.099299003294265,6.250121893028848
44,6.2063025460794305,6.289684155018482
45,6.205810891938681,6.309607685620324
46,6.244408571030333,6.3144009428503685
47,6.301166696648176,6.289332239001173
48,6.310560319430186,6.450456860365343
49,6.425531646586908,6.446663549166113
50,6.420997000136489,6.442855793948987
