,Kasese,Mbale
0,5.348347602514579,5.380096300829159
1,5.266285508327007,5.315108037028888
2,5.195917505983043,5.24560092612969
3,5.185958910135953,5.28347200357132
4,5.221032879357389,5.291061483717872
5,5.223111132440883,5.334696527843346
6,5.527192406565706,5.492372641406479
7,5.497373022466234,5.5871529054176285
8,5.490471258621478,5.55801951760426
9,5.485513885498625,5.518558680276081
10,5.429794741540402,5.458544154826388
11,5.3589575269467336,5.426834949349819
12,5.397093811872772,5.404544618028637
13,5.4159222635835285,5.454821743197266
14,5.409913386757244,5.529090150862232
15,5.408099538487851,5.532587026491551
16,5.500594215194037,5.554161960903257
17,5.526585482262797,5.6617284787816615
18,5.500995865354972,5.73312151298501
19,5.546280461722336,5.757206829097955
20,5.546067412955479,5.732843320098814
21,5.54585440956873,5.704078414783624
22,5.556347597857354,5.685238653062714
23,5.587182265971364,5.874231226657774
24,5.628726455502891,5.999119475863482
25,5.476937271098081,5.996356259907167
26,5.615586711787795,5.991297558814167
27,5.785360236914406,5.983435180334269
28,5.93045064721963,6.022404210803276
29,5.869718158346983,5.938288464858283
30,5.797147848052577,5.629472606775861
31,5.798202139185474,5.373399411927151
32,5.487085169245161,5.372561740665815
33,5.4286507073063754,5.368581761113166
34,5.423792202869158,5.526976439104388
35,5.523922370018485,5.567445339952891
36,5.61415947966159,5.467556005469715
37,5.699665123306827,5.294200015198664
38,5.504657086429095,5.399799209635835
39,5.509969272545783,5.221686419060612
40,5.509835631923639,5.151747804826485
41,5.399951863554027,5.147636934939538
42,4.997954958588023,5.1529607047350146
43,5.364153600868913,5.138928883350879
44,5.398856937986302,5.149262200584922
45,5.340960086732695,5.149232731651864
46,5.2955299611516224,5.144268082780344
47,5.031057255317754,5.039616508713424
48,4.957573358658255,5.106418986255821
49,4.92706805232435,5.088471710456624
50,4.736172239430261,5.072644476051474
51,4.733992542886342,5.067713746135665
52,4.666220668449808,4.852632210495289
53,4.4730797295284805,4.576458083982315
54,4.502981105981861,4.603064564538843
55,4.522474967701403,4.637137876021543
56,4.523722180934396,4.630512510540956
57,4.527454514461543,4.752465479950549
58,4.651334710704814,4.943140500340458
59,4.652254040203766,4.944059829839408
60,4.683771759261495,4.949208222765956
61,4.942049894503591,5.127453117834954
62,5.057198924889497,5.131306897043219
63,5.033716055574165,5.135136234020068
64,5.031486781534874,5.279048860197229
65,4.774732600971392,5.289896626335981
66,4.711146870071177,5.286030130137388
67,4.660042381252621,5.27784012457078
68,5.081759205498516,5.61253317730652
69,5.377469152909199,5.609203151428446
70,5.427699702518401,5.6081538451375605
