,Busia,Eldoret
0,6.318462984402514,6.538658906772202
1,6.337440950762077,6.529172917320767
2,6.316188099802063,6.51955563150128
3,6.312043019468261,6.53488598090611
4,6.3872553915217,6.53182892653774
5,6.358921285335857,6.519937367131795
6,6.336599528487916,6.530522031793268
7,6.403138777787544,6.53609093223957
8,6.135943578426915,6.493903835080293
9,6.318066477928407,6.5050349898044715
10,6.292744691025658,6.444225717881967
11,6.364133904030523,6.461392527092208
12,6.233923744733619,6.430019468513708
13,6.283766709015299,6.395938641759339
14,6.2642628327982495,6.331220952106643
15,6.279482992071245,6.242796321812628
16,6.318338482369976,6.146136100946372
17,6.419610623769823,6.144022779466788
18,6.4160879355427145,6.289086210679383
19,6.319295131018286,6.285960371729812
20,6.168196797178696,6.346366940428526
21,6.188487988431572,6.3718946698395875
22,6.261066817385763,6.424307650057613
23,6.318982538170334,6.446280553346781
24,6.34400489913866,6.583172424046684
25,6.426697114685671,6.534502241436029
26,6.4436084680391446,6.545929377058253
27,6.5005031950970995,6.599941747504524
28,6.536507788619762,6.571169687543891
29,6.542105035181455,6.6261299782917
30,6.573984859087074,6.632098548748255
31,6.566451950177369,6.676841000277581
32,6.626442213394548,6.681428444588674
33,6.320739745217466,6.630670895280196
34,6.2572799749626205,6.46740213682927
35,6.1697472348898375,6.455382450293878
36,6.304228302247334,6.447926613611896
37,6.324607257103773,6.520406858837512
38,6.366576585153397,6.514167901717069
39,6.384156553993323,6.569427747474398
40,6.391725383085202,6.577767760361235
41,6.376299531708487,6.605398215641461
42,6.340108240376205,6.53518460689575
43,6.173066404506129,6.596665618023489
44,6.055848936770209,6.532406934018864
45,6.0010634591662155,6.601106452266625
46,5.998788364642731,6.643719706087706
47,6.138586130010234,6.66402319759621
48,6.13140875358258,6.629479268223722
49,6.139071629404233,6.730823608269944
50,5.902397921938062,6.599317818520078
51,5.972560340355643,6.558296429881377
52,5.971310039734474,6.504285811634673
53,5.929703444569913,6.444833311921062
54,5.982053627561884,6.440809366563453
55,5.944566815426748,6.388776086909848
56,6.015461771344169,6.40041506732291
57,5.970295975445936,6.415687052987334
58,5.730182953450687,6.328011557342653
59,5.732268964572776,6.2880350568149845
60,5.701268829493364,6.290988416543908
61,5.735724872959848,6.238801584480866
62,5.732889943539251,6.20509314072808
63,5.756427367978361,6.120670771124589
64,5.752279466640863,6.122851793725292
65,5.835325298116617,6.125927634220183
66,5.843348709775264,6.1380033289192415
67,5.717511210095894,6.138903536048712
68,5.6865081572831535,6.09405092008637
69,5.760906013162644,6.08326285547492
70,5.856639982317028,6.115225711302146
71,5.844419438849057,6.152775626974193
72,5.912407847648022,6.173549572973473
73,5.9005644168589795,6.235724197801051
74,5.95560904299699,6.197432801761317
75,6.019313963734245,6.20701450490747
76,6.039841405289059,6.1679321464789885
77,6.08777932027933,6.220403388132812
78,6.103159078239208,6.2477810064259875
79,6.345259344147123,6.299511181271283
80,6.316250169677425,6.31744045261313
81,6.258334989814062,6.34218235735565
82,6.12786287825786,6.424066418786598
83,6.065788822982034,6.412952498656401
