,Tororo,Owino
0,6.191026517045488,6.425219904546283
1,6.270550272921105,6.55895576741423
2,6.344213214797799,6.502364627366297
3,6.33963097598709,6.494874353063846
4,6.3912827831916825,6.618277430407989
5,6.3362568312128476,6.605846195190644
6,6.079721765282146,6.615933575438553
7,6.134167266475047,6.254477586647204
8,6.290847287159116,6.477066337580395
9,6.290276681284751,6.436759632406356
10,6.294792179027007,6.394081671682812
11,6.436160547191164,6.457941355652555
12,6.518242265563295,6.541643195727906
13,6.514882438844119,6.556107830249778
14,6.547504969030527,6.589533478879123
15,6.541587156469973,6.5743119407576085
16,6.441994004612874,6.398114045424532
17,6.374409866289913,6.273557312836522
18,6.245436340302469,6.300161239991715
19,6.238087458923326,6.461141600786897
20,6.297315023835952,6.506716735358224
21,6.380702644998204,6.503766816133705
22,6.423005711453711,6.540788747110095
23,6.463255465422941,6.538853054717605
24,6.456406483124705,6.638017812616077
25,6.455593811015265,6.6359067418606585
26,6.558496210449027,6.751808050114444
27,6.555653119439313,6.750390632850896
28,6.586390305376329,6.798991123381322
29,6.645468105605275,6.795426603304579
30,6.477932645340147,6.477932645340147
31,6.223600867954746,6.275183266455148
32,6.124503715111705,6.277598763045304
33,6.126432570911583,6.37044067943786
34,6.22804477957373,6.451455080544969
35,6.270286038406951,6.447769105613445
36,6.316891171599328,6.4454039239282785
37,6.356367204467341,6.479296931875494
38,6.396547692538435,6.513422950125465
39,6.392812303866773,6.491903206511004
40,6.294347746024714,6.246809878751679
41,5.978282284313611,6.200410091507986
42,5.9514758358243025,6.097921742852849
43,6.036528692625579,6.222810650635631
44,6.097564753573258,6.341429322524985
45,6.139101099205735,6.286661969353938
46,6.199470848312016,6.293222309231491
47,5.9749443426336715,5.9749443426336715
48,5.970300452388205,6.08959064733516
49,6.025080533902487,6.09620787791807
50,5.960901815425774,6.077799615488465
51,5.9515600169992435,6.2691793717656585
52,5.9491645246753775,6.065927672431015
53,5.939870241677762,6.00311230054583
54,5.938402611669982,5.93608511352962
55,5.636013349760888,5.737290303909339
56,5.696111735973429,5.7954405532111
57,5.683569252393964,5.85039437311795
58,5.601992535895786,5.864851360215098
59,5.800758587813922,5.869226387091382
60,5.788688230196583,5.852730596523678
61,5.906430146468122,6.023432237141434
62,5.896394331465438,6.014703821464067
63,5.902868399800893,6.020651435457276
64,5.701762853127754,5.84284145138766
65,5.6229466757934095,5.847339446508051
66,5.634743279049029,5.713477319591533
67,5.6372070103993535,5.85911523110557
68,5.642355403325902,5.8667251963633555
69,5.863266744713802,6.040662183171701
70,5.871785452308936,6.047597628917374
71,5.870525719778315,6.054468022470003
72,6.050212405285479,6.251620427969974
73,6.039841405289059,6.170044155741471
74,6.1388784210552405,6.235529533008196
75,6.133180094494065,6.274307334435037
76,6.266086904446707,6.389061966805516
77,6.378677568257577,6.456945258824288
78,6.261581745912932,6.452777907140362
79,6.262089117465058,6.344497805944682
80,6.242826351629383,6.3903324887379735
