,Gulu,Lira
0,5.539405523947968,5.635845373847415
1,5.43331284054056,5.6341624748955565
2,5.790922231014981,5.751701517861699
3,5.788716895128923,5.788716895128923
4,5.788636317783089,5.894476170595299
5,5.850786719099127,6.043431360169944
6,5.857713727791993,5.783409002071478
7,5.628671315540247,5.797460866115625
8,5.631086812130403,5.71903860700354
9,5.535290529329386,5.631893952120291
10,5.536230636314049,5.720622281086634
11,5.66514349493958,5.623736305825427
12,5.528757383475383,5.423792202869158
13,5.415988359918458,5.41895718941226
14,5.41348878419944,5.417449185415537
15,5.69892079874697,5.411983050855047
16,5.688485802513621,5.342936347741292
17,5.689283308275782,5.283441623247333
18,5.508936755458621,5.283993023640264
19,4.9964847581085365,5.28116832756406
20,4.997954958588023,5.2848882477775625
21,5.138928883350879,5.068819317163852
22,5.281826631006785,4.993391829878138
23,5.249684310956607,5.074331423478746
24,5.27715327182826,5.146848729373835
25,5.2702397843372015,5.209331031250209
26,5.2688916446529035,5.132759470328324
27,5.258412836439298,5.021412250463662
28,5.256017344115432,5.123795709372973
29,5.249029867215732,5.116156585835759
30,4.957573358658255,5.084912781034857
31,4.942866169200942,4.939726449196274
32,4.5130286881160515,4.5130286881160515
33,4.520418442588283,4.510848991572132
34,4.544330850840772,4.544330850840772
35,4.543658732205537,4.661980257420478
36,4.537589249083414,4.730655345160345
37,4.535361820593323,4.942049894503591
38,4.521892042771804,5.212721725191387
39,4.520112858886331,5.271703635316351
40,4.911379422984599,5.696991831216638
41,4.918117086992008,5.691784644209972
42,5.203196108581522,5.764146119530081
43,5.12806298987892,5.54303462835077
44,4.753935797682752,5.086228299901257
45,4.936589736227927,5.088139634355128
46,4.935637863082918,5.087187761210118
47,5.086236793266025,5.086236793266025
48,5.1501312407538515,5.211616324404532
49,5.2099987854536005,5.326761933209239
50,5.212571111024489,5.32883091714035
51,5.334927795266354,5.459853718435117
52,5.437964891650919,5.330582130612325
53,5.526336385994839,5.430360427204537
54,5.530262172112174,5.329223491365282
55,5.383303193424278,5.212410332453946
56,5.212105905238999,5.212105905238999
