,Machakos,Makueni
0,6.944983520439066,6.744210224043156
1,6.847708817347679,6.624184869148137
2,6.865036890513538,6.641520506286292
3,6.867249393766345,6.761998774256769
4,6.860012380640688,6.754266370581524
5,6.85577364531681,6.747107341524484
6,6.943402849603698,6.743936973564398
7,6.942049186344503,6.846468211755837
8,6.938045564906418,6.842101126031313
9,6.936089831272608,6.842212675034215
10,6.934130265248393,6.839999063497468
11,6.9351365952064965,6.840278801747819
12,6.932488370885018,6.837169960026733
13,6.929833114845796,6.834070753256692
14,7.012008031304075,7.012008031304075
15,7.005973144572913,7.005973144572913
16,7.000503329261961,7.000503329261961
17,6.906970837420569,6.950451100534571
18,6.900615701018805,6.900387468677291
19,6.891995627987074,6.892453608301927
20,6.86165474610844,6.868885098307008
21,6.866175378769005,6.863398884620713
22,6.8576485135248175,6.763447032499003
23,6.857018578914012,6.76180013802081
24,6.846520602884505,6.75391752973697
25,6.834947252322877,6.740051637576656
26,6.917465278108666,6.8170703415862315
27,6.913753919605064,6.733627753374544
28,6.918917142641159,6.736595585847204
29,6.988866158800316,6.9096167871461756
30,6.840473727891594,6.837694661721328
31,6.842550882070501,6.7472407022661764
32,6.838570474197825,6.7431674395719465
33,6.737567502194116,6.737567502194116
34,6.88777101187092,6.745553560513844
35,6.851544882626548,6.698553266927505
36,6.448058883581744,6.375822792174269
37,6.454081647763497,6.383512957599335
38,6.44111094428759,6.375855320215022
39,6.438242399317682,6.369679727880385
40,6.672984121029003,6.607814485954423
41,6.664216387777751,6.636436823670675
42,6.668310415578933,6.611919638224058
43,6.6603725917598355,6.628978686106459
44,6.585838074161033,6.568684994934784
45,6.2835597947718185,6.1162255195772595
46,6.248752708480322,6.025208435862414
47,6.210688474142265,6.210688474142265
48,6.139913583328657,6.169924661744696
49,6.152607977393292,6.212608833725317
50,6.199176629037024,6.207530896506882
51,6.280856042868541,6.280856042868541
52,6.28329354413385,6.20312242554521
53,6.360072958526515,6.283612474715751
54,6.359539473654137,6.358103723228033
55,6.35612704163298,6.35612704163298
56,6.411615967657628,6.340585471507749
57,6.339461562014965,6.32479854270489
58,6.342078014909487,6.342078014909487
59,6.474780445172006,6.44337812268831
60,6.591918256902433,6.535353843673951
61,6.59902086264247,6.485736571466569
62,6.649545581237234,6.5957691844564295
63,6.644014821801107,6.644014821801107
64,6.634837166223737,6.608225696998227
65,6.573631324193517,6.639262124379034
66,6.718010507218355,6.669364217590571
67,6.769814555291399,6.6746858472233495
68,6.76508709974917,6.763265605620779
69,6.809320131517678,6.669688502111016
70,6.921842013395526,6.841993085395108
71,6.911256544077335,6.834854370271537
72,6.900557822703477,6.827664327259632
73,6.905179650127709,6.8284733274976945
74,6.909780214499683,6.829281673783383
75,6.8191653686176,6.732620083456497
76,6.857713115249154,6.857713115249154
77,6.987016774735873,6.876463706498625
78,7.101499171687513,6.894869174417017
