,Kasese,Soroti
0,5.587182265971364,5.779300962010302
1,5.628726455502891,5.934618135666965
2,5.476937271098081,6.056455533668441
3,5.615586711787795,6.052053768235239
4,5.785360236914406,6.044489561326891
5,5.93045064721963,5.993799400221612
6,5.869718158346983,6.00134660082542
7,5.797147848052577,5.716820491491519
8,5.798202139185474,5.53261792194791
9,5.487085169245161,5.372561740665815
10,5.4286507073063754,5.422704208118649
11,5.423792202869158,5.418839245740309
12,5.523922370018485,5.520357303853989
13,5.61415947966159,5.417449185415537
14,5.699665123306827,5.354824637015098
15,5.504657086429095,5.342936347741292
16,5.509969272545783,5.157147897923041
17,5.509835631923639,5.149173800831313
18,5.399951863554027,5.146349104755109
19,4.997954958588023,5.222295398136079
20,5.364153600868913,5.144123700227983
21,5.398856937986302,5.149262200584922
22,5.340960086732695,5.149232731651864
23,5.2955299611516224,5.1722953950349995
24,5.031057255317754,5.039616508713424
25,4.957573358658255,5.111724038485514
26,4.92706805232435,5.029877546190572
27,4.736172239430261,4.998536503897752
28,4.733992542886342,4.913103824050048
29,4.666220668449808,4.666220668449808
30,4.4730797295284805,4.549307094916364
31,4.502981105981861,4.649584580173736
32,4.522474967701403,4.637137876021543
33,4.523722180934396,4.514828111541494
34,4.527454514461543,4.706655943919254
35,4.651334710704814,4.723078615563656
36,4.652254040203766,4.944059829839408
37,4.683771759261495,4.949208222765956
38,4.942049894503591,5.019239533194721
39,5.057198924889497,5.029341970386531
40,5.033716055574165,5.109427877309861
41,5.031486781534874,5.270238230515075
42,4.774732600971392,5.400438500735804
43,4.711146870071177,5.223509773156054
44,4.660042381252621,5.210398843775247
45,5.081759205498516,5.528341086086172
46,5.377469152909199,5.523180964090592
47,5.427699702518401,6.016729375660117
48,5.52419544989949,5.803827158986369
49,5.549679171069438,5.532984292497268
