,Meru,Nairobi
0,6.480884268271894,6.512817315374903
1,6.493788892002464,6.607512774506386
2,6.493399699418907,6.570821173612569
3,6.422132224295279,6.583520571422768
4,6.386054635303662,6.521044817391844
5,6.380819408041386,6.490850783161839
6,6.46176946774553,6.526603953200421
7,6.466008839308232,6.591569359577223
8,6.4678155007977605,6.397758850863217
9,6.433061934567777,6.342658879927553
10,6.450250769692778,6.369631593449638
11,6.467868412881293,6.398875541394341
12,6.467235673926983,6.368116483939922
13,6.461171108766042,6.495651511948429
14,6.45425662503859,6.357377924436673
15,6.511412101296781,6.317256086855823
16,6.305790419554213,6.332725483816878
17,6.303709170008167,6.358103242073966
18,6.375855320215022,6.47934895804192
19,6.369679727880385,6.429551372752986
20,6.38397634097975,6.201102145321219
21,6.385671157047068,6.279078734858332
22,6.388072493507305,6.2835597947718185
23,6.391853552120995,6.15823870093949
24,6.39495907791268,6.499832687846701
25,6.367348986724408,6.366634955990751
26,6.325759228834837,6.474909100240721
27,6.35930175607721,6.49853523115064
28,6.31116139236387,6.488495407646785
29,6.356079930192133,6.489969424879569
30,6.360072958526515,6.493962453213951
31,6.317042236430258,6.425466915017677
32,6.311937230602609,6.480611873555382
33,6.341992074136778,6.477342641357958
34,6.339461562014965,6.408357388521492
35,6.36924194385031,6.475518823721275
36,6.334911703363676,6.414344634863005
37,6.299360870087479,6.535353843673951
38,6.376847983248057,6.452242129212523
39,6.344612596914546,6.41322660876446
40,6.294924121220682,6.47229517285478
41,6.352741700480596,6.459633077198647
42,6.35090481604932,6.480432373574967
43,6.345103122593622,6.446346539522169
44,6.387003774771569,6.37428180874592
45,6.372280388512929,6.4462920911118236
46,6.3796727063130145,6.427890515225002
47,6.3714855508729,6.436527977286944
48,6.3437086148384925,6.414684047901625
49,6.315138022811624,6.691824166369745
50,6.299618097727204,6.619727341583642
51,6.283853502314525,6.607407426637899
52,6.222506821957268,6.6045325069712995
53,6.157149337034159,6.604461555077824
54,5.93730036367709,6.601217905922097
55,5.9394364664472175,6.599281922458123
56,5.937473681352004,6.607869104928533
57,5.9521698986280525,6.610584272269105
58,5.940576465577304,6.609132242999927
59,5.727947853693069,6.606325381795201
