,Soroti,Kampala
0,6.04131048195558,6.233440409848054
1,6.067679170932938,6.303271015773716
2,6.221705147107435,6.367273182820459
3,6.218606555244162,6.31628120553039
4,5.719241836835949,5.939568693678022
5,5.800096710061011,5.941103502770316
6,5.933728619282173,5.934920514536505
7,5.90105695564276,5.900443646822555
8,5.823103905767166,5.930573014720752
9,5.617400973585761,5.887946763794555
10,5.656328809819859,5.840978656373405
11,5.766673222085411,5.767369358556267
12,5.607733441311675,5.771640296084297
13,5.604900743720365,5.770193600100865
14,5.602076047644162,5.7673689040246625
15,5.603546248123648,5.771605357997039
16,5.680526165783623,5.797635573930532
17,5.686539010438083,5.76750807297175
18,5.767478604038691,5.839799265618317
19,5.904856544135821,5.837415263340288
20,5.758540898024515,5.863064243269277
21,5.752999880080181,5.898711691261576
22,5.7432146867839835,6.011644827736443
23,5.7408191944601175,6.039038772214684
24,5.732763689273369,6.030339835370349
25,5.732186734676591,6.112200288881037
26,5.720147026922902,6.038338737864384
27,5.775922780561859,5.927760984556476
28,5.828751262238462,5.877725266834921
29,5.931781950088486,5.866086690823091
30,5.869226387091382,5.803379821293796
31,5.852730596523678,5.78338317796689
32,5.841110680347479,5.771224552883313
33,5.896394331465438,6.014703821464067
34,6.126011951115102,6.075711212640304
35,6.0276661383997325,6.078438463773156
36,6.028411783901574,6.135021518959832
37,6.037629071824705,6.093868790147582
38,6.042672118507518,6.148032634165344
39,6.0478205114340655,6.154407268815136
40,6.069061657693399,6.194812862998959
41,6.099299003294265,6.246782991763333
42,6.2063025460794305,6.253849702009266
43,6.205810891938681,6.297009093784002
44,6.244408571030333,6.288425456447108
45,6.301166696648176,6.323656981542247
46,6.310560319430186,6.357432088559859
47,6.425531646586908,6.463373999770067
48,6.420997000136489,6.545509948009071
49,6.5275549994261075,6.559342516862992
50,6.526819362738636,6.558645794350314
51,6.537520207809981,6.546114490297316
