,Soroti,Tororo
0,6.372391869941915,6.456761407706958
1,6.370640577278522,6.453111980278505
2,6.5257701407738695,6.449836239932684
3,6.55629087456297,6.442643362535587
4,6.620651652486489,6.469031300719109
5,6.612455971419808,6.507661339637742
6,6.62002426828871,6.477932645340147
7,6.561597107918934,6.4453199176035705
8,6.006536024298302,6.278443357690105
9,6.227102299052104,5.800934381322347
10,6.066754399627313,5.873083414577452
11,6.062777709467196,6.11402732714971
12,6.116445190189492,6.116939383429103
13,6.083029640271961,6.055178433176196
14,6.02178675077425,6.051051941168544
15,5.971031784621603,6.018118854425363
16,6.033953602043412,6.010220017711317
17,6.070356963259788,5.913630953654796
18,6.040939431857416,5.916797074292741
19,5.976565227858021,5.9109774673226845
20,6.039056534663201,6.039056534663201
21,6.027762768991995,6.027762768991995
22,6.036262135538013,6.036262135538013
23,6.03517053161397,6.091974649613189
24,6.056934684361107,6.113401296028878
25,6.026148339663316,6.123687526544533
26,6.02159335596944,6.0788112493633095
27,5.9515600169992435,5.983165356414574
28,5.882789455730505,6.009249335412577
29,5.875485673277005,6.002530556671921
30,5.871391901387022,6.002289879121233
31,5.864783674282612,5.745752977828073
32,5.650923325118823,5.697583406584886
33,5.51894727269941,5.683569252393964
34,5.407377068196114,5.456911003318391
35,5.463761278983219,5.359217423231947
36,5.444781015087852,5.342731760733681
37,5.433142442021197,5.330285056581489
38,5.427338120575742,5.427338120575742
39,5.529888746837217,5.432864770555157
40,5.554323607888483,5.485091816319161
41,5.5847254629732115,5.538205447338319
42,5.63319648833073,5.634743279049029
43,5.6372070103993535,5.6372070103993535
44,5.639283204288931,5.642355403325902
45,5.6565719346482695,5.715239782737073
46,5.6821378554229085,5.7182428600650255
47,5.68966295244802,5.647990256047452
48,5.645760982008161,5.800345783830516
49,5.634376297180895,5.713946972747484
50,5.630509800982303,5.7100804765488915
51,5.617413138870241,5.739658169230076
52,5.694485193435976,5.770226819210122
53,5.691277529953199,5.895328803332569
54,5.766301865397439,5.895835917589341
55,5.833672182178691,5.83863497152082
