,Mombasa,Machakos
0,6.867023396662568,6.6438798453483585
1,6.639041435259668,6.645974964454524
2,6.653087024125803,6.653087024125803
3,6.649315271657147,6.639896049740655
4,6.72483087276059,6.631078370601248
5,6.691192740043291,6.562791194386278
6,6.5965392641123,6.558673564716479
7,6.603517199710777,6.642141817272417
8,6.6059231660199265,6.644353091804366
9,6.59809400287582,6.636621028557028
10,6.577943869308041,6.628910312900068
11,6.492385998860153,6.6244969367003845
12,6.489935121849543,6.623821061543903
13,6.485283742095189,6.61970505201614
14,6.485608908005724,6.618032368987572
15,6.476033686296057,6.616356883402047
16,6.483603857809086,6.617135250433609
17,6.481205495691599,6.614036043663568
18,6.729262876463442,6.6109272019424825
19,6.7246025457714955,6.606127899326081
20,6.717736287086098,6.600716001527368
21,6.713376658101881,6.595038221153797
22,6.551727346650982,6.588744974595147
23,6.546415361104011,6.582190495280729
24,6.634839946593034,6.57314099196354
25,6.658901150497279,6.620523118161618
26,6.650398343271557,6.665761376585466
27,6.7722955291145315,6.656900779427753
28,6.864786495515487,6.656551736270831
29,6.890342916202633,6.645415885178283
30,6.876239074259295,6.634071769966371
31,6.8291466611312694,6.91999799368795
32,6.790673700251545,6.91290825359272
33,6.876136802032304,6.918917142641159
34,6.874203250480176,6.9164661289917495
35,6.7449322539958025,6.921298880389344
36,6.548042844548321,6.840693871323289
37,6.626277773893939,6.637693422977616
38,6.739613538713513,6.632377649562559
39,6.744534192433729,6.642341637789341
40,6.637289944255953,6.632941201237457
41,6.482636796460079,6.544106889292635
42,6.5174922785628135,6.633950856878744
43,6.558296429881377,6.623656490330998
44,6.610022196494444,6.642193578858994
45,6.603315040793193,6.672984121029003
46,6.48084053462889,6.695339231698333
47,6.4810681557712675,6.7157319947758065
48,6.477527063248365,6.6354442258711
49,6.490754626020756,6.566953392770506
50,6.428200284598085,6.426866061584948
51,6.289574703000578,6.556072424785176
52,6.212359318307083,6.475108766062382
53,6.214149555482554,6.498915566713621
54,6.229110858361705,6.357925744754901
55,6.222394919139031,6.352847807536467
56,6.200813335195003,6.488495407646785
57,6.20312242554521,6.490604189903722
58,6.207115453879592,6.492708534554357
59,6.206344816844244,6.494862660343422
60,6.198849480123901,6.489478302761023
61,6.187112796827379,6.4760695667111605
62,6.13506405352181,6.534558994643471
63,6.187202434724281,6.570425394098724
64,6.343234545762916,6.582929713837039
65,6.342045789938428,6.595279604605138
66,6.350872496844796,6.6012381584511175
67,6.538350743312149,6.5957691844564295
68,6.5318975236804,6.589250736391131
69,6.460883859100299,6.616283758327989
70,6.456334821995906,6.679103068370451
71,6.5564785358549775,6.670370760201973
72,6.569547085641163,6.682706090693324
73,6.566436402953887,6.694891113024504
74,6.564438980404133,6.669688502111016
75,6.554031096916307,6.7561260042163465
76,6.650210667962618,6.74937695063103
77,6.737945960721086,6.742582037638564
