,Kasese,Owino
0,6.465979102746381,6.425219904546283
1,6.3640641162465394,6.55895576741423
2,6.455550730509163,6.502364627366297
3,6.491592672816966,6.494874353063846
4,6.512276094478314,6.618277430407989
5,6.562793188691354,6.605846195190644
6,6.56363709979081,6.4525903644475
7,6.630871307801319,6.552406136343881
8,6.664316212353267,6.583306706487137
9,6.494985536439013,6.615933575438553
10,6.4973427750168735,6.254477586647204
11,6.4774332427395285,6.477066337580395
12,6.483002024496989,6.436759632406356
13,6.505223694752854,6.394081671682812
14,6.5629303312726694,6.457941355652555
15,6.561512514144189,6.541643195727906
16,6.555773996162218,6.556107830249778
17,6.549849635989781,6.589533478879123
18,6.542930340016441,6.5743119407576085
19,6.5236865490992715,6.398114045424532
20,6.533567448084982,6.273557312836522
21,6.507800604769959,6.300161239991715
22,6.462571193596491,6.461141600786897
23,6.462358144829634,6.506716735358224
24,6.462145141442885,6.503766816133705
25,6.470067619684719,6.540788747110095
26,6.493465281379583,6.6359067418606585
27,6.517169360001271,6.751808050114444
28,6.441928821597718,6.750390632850896
29,6.43695806696297,6.798991123381322
30,6.431272514122744,6.795426603304579
31,6.515723917055652,6.477932645340147
32,6.52673237592274,6.275183266455148
33,6.48892797440099,6.277598763045304
34,6.491349319745419,6.37044067943786
35,6.493243890620956,6.451455080544969
36,6.488305752721292,6.447769105613445
37,6.483447248284074,6.4454039239282785
38,6.478612234827176,6.479296931875494
39,6.475733428696675,6.513422950125465
40,6.510595339523157,6.491903206511004
41,6.458426674196753,6.246809878751679
42,6.404032818634217,6.200410091507986
43,6.343174366847618,6.097921742852849
44,6.337221001813375,6.222810650635631
45,6.249862128999495,6.341429322524985
46,6.373673346343568,6.286661969353938
47,6.3796861909980285,6.293222309231491
48,6.199441379378957,5.9749443426336715
49,6.201716136854186,6.08959064733516
50,6.213012947801603,6.00311230054583
51,6.2602176904912215,5.93608511352962
52,6.244142036553056,5.737290303909339
53,6.216026998630689,5.7954405532111
54,5.909090926113141,5.85039437311795
55,5.866086690823091,5.864851360215098
56,5.933305243775905,5.869226387091382
57,5.78338317796689,5.852730596523678
58,5.963328313071728,6.023432237141434
59,5.986953908511165,6.014703821464067
60,5.965710317425975,6.020651435457276
61,6.023490766989252,5.84284145138766
62,5.7762040996434525,5.847339446508051
63,5.980227556002278,5.713477319591533
64,5.98551370466757,5.85911523110557
65,5.8667251963633555,5.8667251963633555
66,5.858340626377746,6.040662183171701
67,5.988757128894441,6.047597628917374
68,5.934151415658526,6.054468022470003
69,5.93420264431796,6.251620427969974
70,5.713946972747484,6.170044155741471
71,5.8524256050581895,6.235529533008196
72,5.846113975249317,6.274307334435037
73,6.020066538478743,6.389061966805516
74,5.956503026701722,6.456945258824288
75,5.898169640935562,6.452777907140362
76,6.220726728443676,6.344497805944682
77,6.241169350421754,6.3903324887379735
