,Lira,Kampala
0,6.436148975078473,6.424434666971581
1,6.457163050239392,6.548953959601279
2,6.477744607422322,6.500184393944528
3,6.473162368611613,6.494874353063846
4,6.523607660487864,6.618917840292188
5,6.533219508232758,6.6108579266410885
6,6.570768831484161,6.614492537642149
7,6.447526166306873,6.281417529383605
8,6.497048837167734,6.477066337580395
9,6.44208891795444,6.436759632406356
10,6.39527238426644,6.39447873343113
11,6.434640790059747,6.448236165626591
12,6.518242265563295,6.540622266593799
13,6.428850818889928,6.556107830249778
14,6.510267532685133,6.60864234057717
15,6.391014297990599,6.577396609166684
16,6.298152694444477,6.398114045424532
17,6.223871551232857,6.274648420418857
18,6.196020980739118,6.300161239991715
19,6.238534386305067,6.461141600786897
20,6.340190510855426,6.506716735358224
21,6.381477238375431,6.504280558759954
22,6.42374508302159,6.540788747110095
23,6.4636091347458136,6.5395087924460205
24,6.4792184918078,6.638017812616078
25,6.464056484933999,6.6202616339528095
26,6.5211481450910345,6.693659996484432
27,6.519273661151749,6.743012470263224
28,6.568966093550701,6.788462071485471
29,6.645468105605275,6.795052188323606
30,6.4782764651819384,6.457610625961792
31,6.249941284569154,6.29567321599587
32,6.228681848131042,6.254304622917901
33,6.2659803117222515,6.348590414901033
34,6.292194163201874,6.431339459747963
35,6.271137464597169,6.42795934562421
36,6.317699905974179,6.425462546345036
37,6.357140898896652,6.4602948054482185
38,6.394318037211166,6.494082567364871
39,6.328273782729202,6.483104503385116
40,6.210841089075997,6.234672755335146
41,6.199958318290453,6.187225085769094
42,6.123052407578428,6.097422616313912
43,6.147113632420211,6.173064825751855
44,6.203423649505542,6.273969872959751
45,6.286661969353938,6.263249528729196
46,6.293222309231491,6.247874489253032
47,5.9749443426336715,6.03517053161397
48,5.972560340355643,6.08959064733516
49,6.083188164709767,6.089719210280764
50,6.0788112493633095,6.078305560351269
51,6.040385496744466,6.2691793717656585
52,5.9491645246753775,6.065927672431015
53,5.939870241677762,6.059447919528419
54,5.873864090532411,5.937244533949354
55,5.714366664007403,5.746454978558903
56,5.697583406584886,5.779434433015206
57,5.758102304256531,5.830679903144867
58,5.649097005083259,5.831546365570914
59,5.800758587813922,5.869226387091382
60,5.784712081816943,5.852730596523678
61,5.841110680347479,6.023432237141434
62,5.834065058504329,6.015229998797965
63,5.839586949853373,6.020651435457276
64,5.703204814444655,5.874903383847323
65,5.6229466757934095,5.85480216770964
66,5.634743279049029,5.714904871582719
67,5.71724971807289,5.825810236461387
68,5.721926078892491,5.8667251963633555
69,5.922879147515317,6.040662183171701
70,5.9865902808093505,6.046576699783267
71,5.902844511033482,6.081429216198022
72,6.155978518190804,6.2170324166826445
73,6.039841405289059,6.157397194040704
74,6.14072173954953,6.18924878044419
75,6.228322221193214,6.271091897581063
76,6.308781135544713,6.369587856970138
77,6.341989667879001,6.422032375552536
78,6.304411448111898,6.418737860900371
79,6.262089117465058,6.3256648576115895
80,6.2361818089107155,6.409434590611459
81,6.303076376165733,6.432292617934824
82,6.281407734633152,6.476498503301829
83,6.032433588346935,6.360449731425417
84,6.322884097347818,6.51024344817173
85,6.320415923684844,6.510547067972552
86,6.134103882928899,6.471228222605499
87,6.262470026735534,6.465689050781964
88,6.266450263297433,6.351998582235302
89,6.267630637908428,6.348529039051449
90,6.221756494410192,6.125947851523352
91,6.0267611477543905,6.1329286031372625
92,6.020383092631721,6.248141634158375
93,6.022370671925227,6.351441379945331
94,6.34820162436381,6.530523181157765
95,6.350812651108987,6.598400266358889
