,Nakuru,Meru
0,6.897971730635504,6.618749096401022
1,6.88174041761792,6.616766744535951
2,6.7449322539958025,6.253426844787594
3,6.7464751031475,6.2183965729975075
4,6.692089164268168,6.286355275080574
5,6.7370553382904745,6.332102394085951
6,6.75114158623081,6.344155565281938
7,6.666740957945367,6.347042671594628
8,6.754143476901811,6.348678368793648
9,6.703019331723461,6.353370535522481
10,6.78107579261386,6.39990337707474
11,6.851787878926591,6.398875541394341
12,6.755935558171465,6.397660730246647
13,6.753271200298693,6.348822869095615
14,6.838022931052672,6.385507092158509
15,6.572187155606918,6.333428946101424
16,6.826550927891677,6.269249420091233
17,6.7347249782338015,6.303709170008167
18,6.732817167039096,6.333358082991144
19,6.820686856435466,6.397253054784485
20,6.770585908825588,6.38003055508371
21,6.664216387777751,6.38666894688887
22,6.718715587242694,6.388776086909848
23,6.738438894635541,6.411225983427125
24,6.765889482420448,6.20224095268945
25,6.609410112539349,6.0247331791525935
26,6.498463287179254,6.0489719303145995
27,6.501709447859561,6.031705818613825
28,6.469062603563939,6.079904811264352
29,6.449563012649042,6.125748708343024
30,6.429675613045191,6.171964065512139
31,6.482225794633189,6.084279518939052
32,6.482422219244187,6.160490223749327
33,6.4225499004819016,6.02445995151566
34,6.42881924802643,6.080902928243835
35,6.488216472940602,6.13262319487261
36,6.4760695667111605,6.188812032580339
37,6.5915843324302585,6.296332201117933
38,6.593231399627761,6.342078014909487
39,6.593135685400743,6.268066001924324
40,6.593039962011633,6.188135234977254
41,6.600684295241168,6.377540743926958
42,6.5957691844564295,6.344612596914546
43,6.589250736391131,6.366383085202827
44,6.578111184822959,6.354133489153418
45,6.573631324193517,6.37629211432237
46,6.670873651839425,6.386036531519875
47,7.0113006456810005,6.512519092407855
48,7.007158660948899,6.5081674948299115
49,7.005875269132802,6.566656276212781
50,6.917706503642626,6.661181722696382
51,6.821005687111406,6.575586864175662
52,6.906071818556762,6.481973862166198
53,6.923733134447132,6.56667362328174
54,6.925668942474727,6.644756165940486
55,6.949593661004507,6.71564269559263
56,6.920171271958031,6.781835231128974
57,6.526457830712988,6.779293171834601
58,6.9151348718765995,6.734763699625318
59,6.839945460194186,6.6392747647320345
60,6.838892857333431,6.632204273852051
