,Tororo,Soroti
0,6.310628435613145,6.216049695558607
1,6.316157340665454,6.119623341749793
2,6.125979730139825,5.71903860700354
3,5.761986482247964,5.719241836835949
4,5.798048228634538,5.800096710061011
5,5.866523058369317,5.933728619282173
6,5.865483781999095,5.90105695564276
7,5.858104237907202,5.823103905767166
8,5.829480305294592,5.617400973585761
9,5.779707830980365,5.656328809819859
10,5.767369358556267,5.766673222085411
11,5.690036036952649,5.607733441311675
12,5.692456634744684,5.604900743720365
13,5.689631938668482,5.602076047644162
14,5.771605357997039,5.603546248123648
15,5.759169293102736,5.680526165783623
16,5.76750807297175,5.686539010438083
17,5.805630370003067,5.767478604038691
18,5.834827939775338,5.904856544135821
19,5.832449607449671,5.758540898024515
20,5.8717161869195635,5.752999880080181
21,5.9515600169992435,5.7432146867839835
22,6.0114068335525985,5.7408191944601175
23,6.030339835370349,5.732763689273369
24,6.102425039976394,5.732186734676591
25,6.038338737864384,5.720147026922902
26,5.798226932364573,5.775922780561859
27,5.769091425832126,5.828751262238462
28,5.722985847182417,5.931781950088486
29,5.724427269620517,5.869226387091382
30,5.71029759625086,5.852730596523678
31,5.823455745108759,5.841110680347479
32,5.896394331465438,5.896394331465438
33,5.9646022840716135,6.126011951115102
34,5.995917440085153,6.0276661383997325
35,6.028411783901574,6.028411783901574
36,6.039693056045557,6.037629071824705
37,6.042672118507518,6.042672118507518
38,6.0478205114340655,6.0478205114340655
39,6.125441991129507,6.069061657693399
40,6.150301557746637,6.099299003294265
41,6.208040165977971,6.2063025460794305
42,6.251620427969974,6.205810891938681
43,6.241069669764819,6.244408571030333
44,6.25870937878719,6.301166696648176
45,6.350019156170734,6.310560319430186
46,6.407463052176407,6.425531646586908
47,6.523314215617287,6.420997000136489
48,6.5275549994261075,6.5275549994261075
49,6.526819362738636,6.526819362738636
50,6.407330065106544,6.537520207809981
