,Rubavu,Ruhengeri
0,5.858034478256338,5.885365371973309
1,5.855304708224462,6.023036726185589
2,5.877860055279372,6.019248857314792
3,5.9633141024487895,6.068674618106615
4,5.926263505101222,5.993772259893822
5,5.80672603062696,5.912801970203955
6,5.679877046209603,5.903901266889405
7,5.644133290424894,5.959418756616188
8,5.68332221695433,5.956394825763953
9,5.745570824194382,5.952275649165432
10,5.744499160299211,6.030813243481567
11,5.748902380419817,6.035900224312573
12,5.901412347891585,6.044198305282314
13,5.909609747127564,6.160727962320427
14,5.88138860820022,6.1591854203209255
15,5.885449001183037,5.76177159343919
16,5.91023385747563,5.912575778920711
17,5.877949466551875,5.909434098622017
18,5.807430327510093,5.905307902819664
19,5.83024134348357,5.89071926244637
20,5.8552996144266825,5.885046007533101
21,5.8103414162114975,6.059003508184932
22,5.739689784605746,6.061307584499176
23,5.735005921817984,6.071677381470038
24,5.813501572369873,6.085435287853515
25,6.041301566473711,6.159666166554744
26,6.04049528549609,6.158045356678502
27,6.040736731833174,5.7509560227244725
28,6.036111802048236,5.903780169615618
29,5.816209009947213,5.902458565057477
30,5.740604296024,5.891147034475059
31,5.795127212715662,5.8858695278639335
32,5.814299381335753,5.754875960864952
33,5.943595759656696,5.862250120202743
34,5.857796833267144,5.857796833267144
35,5.879649152474358,5.850939046591927
36,5.825769074935162,5.857831007394825
37,5.754544091838312,5.993283549476262
38,5.808523324099377,5.937696004520118
39,5.783547979374717,5.633588328070851
40,5.809637653017458,5.528804922411252
41,5.994437243245431,5.709600122925881
42,5.884387792858654,5.991774893223915
43,5.850952166038857,5.878150919984036
44,5.861096686347354,5.861096686347354
45,5.910794225524063,5.866342462953229
46,5.8441516037878545,5.866568482702396
47,5.967701835382549,5.864323480928714
48,5.8648528666519715,5.868572647754504
49,5.875312136219787,5.900907683408751
50,5.869122619354873,5.894875115457288
51,5.793008395529098,5.62558865786655
52,5.8659538057791005,5.570762311305188
53,5.710285544700385,5.716099514565805
54,5.70659767384503,5.6993354778032455
55,5.750670923712082,5.750670923712082
56,5.770783640589093,5.705888549649205
57,5.851113251675497,5.731178024565783
58,5.971516224160776,5.726996139497009
59,5.788494904457711,5.758209508868859
60,5.803054381132683,5.801774790427058
61,5.882112264482592,5.800886824560006
62,5.802729270206766,5.828561575156329
