,Owino,Eldoret
0,6.798784380987672,7.2857998494089715
1,6.780863139737147,7.283754175849106
2,6.785863734730093,7.268272663216036
3,6.782920392762594,7.234668422408563
4,6.812433444848947,7.190784742349406
5,6.81666122532976,7.3201385438559
6,6.781698478553577,7.316380423942373
7,6.804630896958932,7.34732803813147
8,6.865181079880216,7.308340030983496
9,6.854761481672814,7.266137990754371
10,6.731512427871016,7.190476283175049
11,6.693065159941576,7.220061456829194
12,6.711959545676619,7.236925534430312
13,6.681962294716007,7.178430922655134
14,6.676617289707049,7.1787560885656685
15,6.676958710145931,7.17061455885785
16,6.669579553199765,7.176751038369032
17,6.73250569688453,7.174175103668285
18,6.72413270251338,7.142981126328327
19,6.767621992926765,7.092497495215696
20,6.747918247451214,7.123941040198397
21,6.616691967556228,7.167429200577943
22,6.643105439816351,7.149434299939093
23,6.71367257311054,7.188697054769562
24,6.709005219374411,7.226764956153801
25,6.675305847059376,7.194643125527804
26,6.677944559785632,7.133786765819096
27,6.688526311269359,7.119817206790433
28,6.789634928124658,7.135657592303314
29,6.836408044213878,7.122766057873517
30,6.820345673666395,7.129516404338379
31,6.830895669900067,7.107086137384232
32,6.848876293235224,7.10337477888063
33,6.854794478039374,7.142399046183263
34,6.798353170916925,7.133447387611423
35,6.7891845540846925,7.143588825164313
36,6.816866714907912,7.166051730228648
37,6.844035257349273,7.122415109531602
38,6.841756325876922,7.073966588601332
39,6.836897821439705,7.1278277297889305
40,6.829654908914267,7.128627152671136
41,6.853850366589606,7.133004424352959
42,6.849756700969181,7.134606645231592
43,6.757807827177755,7.104619739457457
44,6.76015492002685,7.127817524031642
45,6.791068923412794,7.1366826210159005
46,6.786246224673918,7.164484422289458
47,6.79121031440766,7.163625857851087
48,6.779138454451733,7.125421961298002
49,6.7576686534123604,7.097292353375164
50,6.757639184479301,7.134793783196345
51,6.754222657587084,7.098686659062667
52,6.747703532595385,7.083402306156786
53,6.743758663329377,7.037305883772062
54,6.86693289658317,7.052320563833304
55,6.864996435711017,7.070113474080583
56,6.8575456956748635,7.049110485312021
57,6.880288890733101,7.046443940947998
58,6.836374624684397,7.039414082395344
59,6.749535613786933,7.076632483010425
60,6.7365115042288854,7.080427337668469
61,6.713384551210295,6.987595394574869
62,6.716524247478587,6.887283616649819
63,6.703920200722496,6.939034472097251
64,6.716058448687252,6.9347825102752045
65,6.709428704165631,6.954239228574494
66,6.768858393200249,6.9570499907613135
67,6.797002457317225,7.018760365676765
68,6.800158323315804,7.0449420854537905
69,6.787015970707526,7.069501977025853
70,6.789886520337739,7.09537167081274
71,6.795680491078833,7.196801651993541
72,6.788850769199765,7.194447111880922
73,6.790506319036384,7.219553753093459
74,6.56367290033826,7.213096007448676
75,6.594939580727151,7.189065505169519
76,6.6302377046216385,7.185099005964277
77,6.641552832590525,7.190242421622816
78,6.692003384699462,7.175409380811987
79,6.765539538040429,7.166807646515863
80,6.762291843417632,7.17829990127378
81,6.76328975523027,7.190075278754165
82,6.763797126782395,7.20284045084742
83,6.7349348514424365,7.212426845505268
