,Kampala,Soroti
0,5.726010375083201,5.635845373847415
1,5.720502665874353,5.632550871001215
2,5.811989948718504,5.791608808453554
3,5.790089578940895,5.862824867282645
4,5.958899158256917,5.927802490107859
5,6.102029828334253,5.919009075587126
6,6.109099196459389,5.822576736495707
7,6.033060576314948,5.7967794350841455
8,5.798513035977917,5.630280035160463
9,5.676134973936596,5.430325348723161
10,5.719883455785202,5.407508770743049
11,5.623736305825427,5.30802271951776
12,5.528757383475383,5.366866266073148
13,5.6189089775824845,5.383759991607632
14,5.7011708566512205,5.41348878419944
15,5.5896642280924995,5.324971673865417
16,5.600378535003355,5.342936347741292
17,5.4036072545508675,5.289075440965589
18,5.508936755458621,5.154315200331731
19,5.400951363887112,5.076987976957607
20,5.405414085303052,5.1529607047350146
21,5.341019025467256,5.214152304588466
22,5.398856937986302,5.149262200584922
23,5.398827469053243,4.993362360945079
24,5.501201391272897,5.187258267711711
25,5.331933353342541,5.179917146043915
26,5.3284461754094945,5.178569006359618
27,5.320655145316519,5.126191201696839
28,5.37278049187107,5.047672013900172
29,5.307211822598467,5.039616508713424
30,5.245255431110037,5.111724038485514
31,5.225047245462376,5.029877546190572
32,4.918493796224216,4.831482419234586
33,4.922703897779067,4.829302722690667
34,5.235160533260355,4.767474402154981
35,5.110232640733851,4.770614098423273
36,5.090235997406944,4.649584580173736
37,4.840078720018234,4.637137876021543
38,4.734190940015797,4.630512510540956
39,4.743484072790689,4.6322584376804645
40,4.837486656206132,4.8908326369114254
41,4.929799495233464,4.898050796918883
42,5.097291180167716,4.89896928202732
43,5.098210509666667,4.853675768371139
44,4.949208222765956,4.862754414789935
45,5.167659538312995,4.901099290890496
46,5.267067944995011,5.029341970386531
47,5.302970958847781,5.109427877309861
48,5.359091567870766,5.1775794000323705
49,5.344647141107389,5.165598909658404
50,5.340780644908796,5.193098072738031
51,5.3849382601271465,5.210398843775247
52,5.40823271379379,5.269517842096371
53,5.864484127981471,5.265551236705213
54,5.834407818866163,5.523688078347364
55,5.867905353820933,5.322017027050325
56,5.700038377160435,5.532984292497268
