,Kamembe,Bujumbura
0,5.98790204900966,6.37104727317358
1,5.8942718992540755,6.365750932198069
2,5.745182453800344,6.368858932941139
3,5.900901049243412,6.431644231272116
4,6.041636172187146,6.411198717252972
5,5.910786217851494,6.4420558997442585
6,5.908853020990589,6.445190089887184
7,5.911038020125913,6.388341042609541
8,5.907886438557325,6.363567750828419
9,5.860907057727357,6.358082072153762
10,6.039276262897065,6.3465897333580825
11,6.02454403925959,6.3330119198705015
12,6.327715790077802,6.325420906950073
13,6.327670314523226,6.314275279998097
14,6.334514734891375,6.270445531269072
15,5.737791438939411,6.228508072910977
16,5.748963051232302,6.236197132903801
17,6.039205129647183,6.140419399035851
18,5.90606501640655,6.147795002839551
19,5.906306462743634,6.048689786710134
20,5.56778743432222,5.869877003772425
21,5.344637572698077,5.93648210791234
22,5.330928655379493,5.93868912606712
23,5.325651148768367,5.940901025927034
24,5.316212783347193,5.9378057342078145
25,5.352231273406693,5.994059433549353
26,5.302409381441243,5.865792788148753
27,5.293747502268011,5.5518173164776075
28,5.346195994673276,5.991861148377614
29,5.296929524906737,5.871952065562694
30,5.256929398529727,5.734255192375172
31,5.224263701470508,5.739145179503344
32,5.144446549724103,5.746743757330513
33,5.299151024436736,5.746305679565559
34,5.188851124901327,5.7580391240371
35,5.135332129626853,5.767163274813551
36,5.194617752869569,5.765964230432808
37,5.14579630820517,5.883137017005585
38,5.306952694766974,5.910530293317847
39,5.52586908310351,5.899837737788793
40,5.305237078716549,6.265201241728431
41,5.313842779635041,6.240344949622186
42,5.3095068314194505,6.010941278942428
43,5.179697673286487,6.018907569523006
44,5.305714382026771,6.021847837462467
45,5.306277101088684,6.0268902477366115
46,5.014896625135084,6.019053847920166
47,4.99243712663225,5.809843680184293
48,4.9823262802248225,5.687188845961639
49,5.099795438260684,5.449604797936875
50,5.254218583368548,5.447359120999331
51,5.241125482914446,5.502527869073664
52,5.243758235200941,5.554811501226343
53,5.143007782837518,5.681526905035536
