,Kasese,Ruhengeri
0,6.3640641162465394,6.059614035426265
1,6.455550730509163,5.992221519814052
2,6.491592672816966,5.972084278247667
3,6.512276094478314,5.946184257635977
4,6.562793188691354,6.16865479115421
5,6.56363709979081,6.3505274176451865
6,6.630871307801319,6.356295554316818
7,6.664316212353267,6.380077795136465
8,6.494985536439013,6.249512355085702
9,6.4973427750168735,6.245788826595525
10,6.4774332427395285,6.107132564166157
11,6.483002024496989,6.157332360888703
12,6.505223694752854,6.133770997056055
13,6.5629303312726694,6.173268809691479
14,6.561512514144189,6.210808321208268
15,6.555773996162218,6.257052652046707
16,6.549849635989781,6.268420499885853
17,6.542930340016441,6.331652474601729
18,6.5236865490992715,6.3194663693278175
19,6.533567448084982,6.435318518671753
20,6.507800604769959,6.439817401969142
21,6.462571193596491,6.472322691423477
22,6.462358144829634,6.472550137670066
23,6.462145141442885,6.187817273279038
24,6.470067619684719,6.208711954105321
25,6.493465281379583,6.259850333455934
26,6.517169360001271,6.258051642699801
27,6.441928821597718,6.253402841152678
28,6.43695806696297,6.384660785459621
29,6.431272514122744,6.390108061736788
30,6.515723917055652,6.395330794306281
31,6.52673237592274,6.3969721376803355
32,6.48892797440099,6.395356988088534
33,6.491349319745419,6.047576051615705
34,6.493243890620956,6.164539768770413
35,6.488305752721292,6.160488584088879
36,6.483447248284074,6.256489932812973
37,6.478612234827176,6.248098183886897
38,6.475733428696675,6.2412519083112645
39,6.510595339523157,6.23363083040881
40,6.458426674196753,6.2355023862255505
41,6.404032818634217,6.244994375170911
42,6.343174366847618,6.259788674998292
43,6.337221001813375,6.158269843311817
44,6.249862128999495,6.158045356678502
45,6.373673346343568,6.040736731833174
46,6.3796861909980285,6.040304680308272
47,6.199441379378957,6.011286117483688
48,6.201716136854186,5.891147034475059
49,6.213012947801603,6.034473459811091
50,6.2602176904912215,6.039343175233221
51,6.244142036553056,6.103328911862708
52,6.216026998630689,5.8673270045932275
53,5.909090926113141,5.753936125328072
54,5.866086690823091,5.7065654678776445
55,5.933305243775905,5.916706675330274
56,5.78338317796689,5.992846130605414
57,5.963328313071728,6.035329222014908
58,5.986953908511165,6.021894233396215
59,5.965710317425975,5.99956668309799
60,6.023490766989252,6.000099875326919
61,5.7762040996434525,5.997390656910471
62,5.980227556002278,6.050275201124174
63,5.98551370466757,6.123328952279136
64,5.8667251963633555,6.123331405662144
65,5.858340626377746,6.000480185945827
66,5.988757128894441,5.868444467091552
67,5.934151415658526,5.952488292630035
68,5.934202644317961,5.98628842153151
69,5.713946972747484,5.975456961023795
70,5.8524256050581895,5.962419968657595
71,5.846113975249317,6.015043960556395
72,6.020066538478743,6.064654850451594
73,5.956503026701722,6.0535493513875585
74,5.898169640935562,6.053942461080548
75,6.220726728443676,6.0750159306070834
76,6.241169350421754,5.933375583093265
