,Makueni,Meru
0,6.139219946114761,5.90073795790374
1,6.135997253363657,6.018563318775577
2,6.144547481161383,5.945009930296401
3,6.063235281664326,5.937330373950593
4,5.827897636831899,5.634288120264093
5,5.821020721157123,5.533765360894449
6,5.829008084019791,5.5816893021735945
7,5.748807832035669,5.586206400697214
8,5.661610234310085,5.5885506634405795
9,5.649511699367608,5.552661873377691
10,5.661378385458679,5.553816903873834
11,5.585025615074678,5.551577681007138
12,5.58235413943052,5.517815618292949
13,5.5796897815577475,5.475790186539596
14,5.571469864395836,5.4320373570426
15,5.478975420118808,5.498531598912676
16,5.461348591226512,5.491735200794748
17,5.533103930409219,5.423259102304064
18,5.493764995402652,5.385897971154036
19,5.488603902297297,5.164511466149675
20,5.519252533139814,5.160193797845806
21,5.478688512148342,5.155915119885291
22,5.482449361196043,5.158209693010464
23,5.326627938133827,5.197347650111786
24,5.329098957286026,5.201808719671995
25,5.1552346087851975,5.178765106195391
26,5.1597098708283635,5.206229886463256
27,5.164205250909102,5.210725266543995
28,5.174496609311817,5.209182167299708
29,5.161121429907578,5.112331265738146
30,5.156043492689143,5.001892812861884
31,5.241962988902053,4.9968405308690675
32,5.288499750771752,5.103675063759679
33,5.288858747214537,5.105158680488635
34,5.289217614825124,5.201825792710114
35,5.327083827291157,5.2582349546524645
36,5.31777835669995,5.311644059473479
37,5.308385480337343,5.308385480337343
38,5.310717953250545,5.3505638617977445
39,5.311860916860842,5.29159019089933
40,5.313002575596607,5.2289194583860645
41,5.35619723604966,5.098820513093208
42,5.315277230296298,5.040107668803134
43,5.309640517859576,5.032484858394782
44,5.301725070564156,5.023296203592858
45,5.252987213063888,5.33110499232784
46,5.469077126936084,5.399845335366764
47,5.3670513864582405,5.472042830327415
48,5.620864299829009,5.46671362000175
49,5.618866877279254,5.468043987544671
50,5.608769295986667,5.456538002545213
51,5.600296329069907,5.4817455174944145
52,5.591750957061961,5.506333205907609
53,5.636546245502639,5.6224229125033105
54,5.679420655000553,5.726426697376483
55,5.72055307994949,5.696791260962384
56,5.742961432185641,5.666250672617582
57,5.7166284147808275,5.664594745414867
58,5.68958317226612,5.665645859122193
