,Nakuru,Kisumu
0,6.867023396662568,6.869532808267993
1,6.869118515768734,7.0948717242901775
2,6.876230575440013,6.971540755244337
3,6.757608981292415,6.985564269076629
4,6.878404018641677,6.948897785174569
5,6.748433797828377,7.052557650725206
6,6.751992875719974,7.029015660711088
7,6.9135430041200605,7.127171735792931
8,6.962469649556401,7.12976581891581
9,6.9554126545934585,7.1224147628539
10,6.852798928200067,6.948605509106668
11,6.79765558057282,7.029962044808549
12,6.843982503292263,6.942049186344503
13,6.737072891486363,7.02330041822715
14,6.632309433456915,7.024368132666589
15,6.631208641538073,6.930038420484859
16,6.9351365952064965,6.935362813960995
17,6.731809444368906,6.97714818876588
18,6.929380933061017,7.015977630384741
19,6.925373799331172,6.925373799331172
20,6.822985808792981,7.0049326700226935
21,6.818181772468007,6.9139463944523865
22,6.905146019395939,6.907881999214814
23,6.901984002258514,6.901072009491244
24,6.794897318135682,6.977555348687858
25,6.776429311677961,6.951801807191196
26,6.763327620516473,6.864325239480843
27,6.762430772248937,6.944582851879534
28,6.7638162677359945,6.946053900229619
29,6.75038306506277,6.933799958360894
30,6.737261527967021,6.920344796109218
31,6.8747218840778626,6.91492613158999
32,6.873213654907773,6.989626425105552
33,6.897971730635504,6.919551459186373
34,6.88174041761792,6.624794310580699
35,6.7449322539958025,6.521788702681593
36,6.7464751031475,6.613417721944589
37,6.692089164268168,6.51976849303224
38,6.7370553382904745,6.448348150423448
39,6.75114158623081,6.525969636655208
40,6.666740957945367,6.531391598571084
41,6.754143476901811,6.533283900695433
42,6.703019331723461,6.53518460689575
43,6.78107579261386,6.535069795951418
44,6.851787878926591,6.533681631450865
45,6.755935558171465,6.529735458374706
46,6.753271200298693,6.527071100501934
47,6.838022931052672,6.5179429944415945
48,6.572187155606918,6.628342258436647
49,6.826550927891677,6.513527283479417
50,6.7347249782338015,6.520622171571741
51,6.732817167039096,6.509924588244713
52,6.820686856435466,6.50303189297508
53,6.770585908825588,6.499456590757622
54,6.664216387777751,6.492168534934097
55,6.718715587242694,6.5545011970797775
56,6.738438894635541,6.607672225917502
57,6.765889482420448,6.490754626020756
58,6.609410112539349,6.357777820301539
59,6.498463287179254,6.364396705887956
60,6.501709447859561,6.365316822954006
61,6.469062603563939,6.367348986724408
62,6.449563012649042,6.21427134449893
63,6.429675613045191,6.205865617187821
64,6.482225794633189,6.42328999752151
65,6.482422219244187,6.4912217731960355
66,6.4225499004819016,6.360072958526515
67,6.42881924802643,6.360973165655985
68,6.488216472940602,6.479338798908584
69,6.4760695667111605,6.475432421101839
70,6.5915843324302585,6.474084062221822
71,6.593231399627761,6.473614665735585
72,6.593135685400743,6.4769465579129
73,6.593039962011633,6.342045789938428
74,6.600684295241168,6.485114874213098
75,6.5957691844564295,6.47743350993547
76,6.589250736391131,6.47229517285478
77,6.578111184822959,6.462133078500731
78,6.573631324193517,6.456960017389824
79,6.670873651839425,6.668356660830271
80,7.0113006456810005,6.724805798822783
81,7.007158660948899,6.672684426990359
82,7.005875269132802,6.669688502111016
83,6.917706503642626,6.555150291213322
84,6.821005687111406,6.600419154865418
85,6.906071818556762,6.643727192545296
86,6.923733134447132,6.698282486866792
87,6.925668942474727,6.750014843419091
88,6.949593661004507,6.740048158465007
89,6.920171271958031,6.740237913980303
90,6.526457830712988,6.73904356075301
91,6.9151348718765995,6.739406991651777
92,6.308260034758923,6.7419473163533254
