,Ngozi,Rubavu
0,5.914724628175666,5.858034478256338
1,6.0463516042297485,5.855304708224462
2,6.1562859289462635,5.877860055279372
3,6.26880949077588,5.9633141024487895
4,6.233048551417794,5.926263505101222
5,6.291324244122646,5.80672603062696
6,6.190009375416296,5.679877046209603
7,6.080106540280961,5.644133290424894
8,6.083595854626639,5.68332221695433
9,6.278549747862325,5.745570824194382
10,6.277044715576592,5.744499160299211
11,6.265595796077003,5.748902380419817
12,6.281201403477482,5.901412347891585
13,6.075748554299915,5.909609747127564
14,6.077610732578964,5.88138860820022
15,5.89961513316127,5.885449001183037
16,6.018392984072269,5.91023385747563
17,5.95475143657423,5.877949466551875
18,6.059859588631684,5.807430327510093
19,6.149972230191106,5.83024134348357
20,6.143099350156119,5.8552996144266825
21,6.229229698805654,5.8103414162114975
22,6.228869104423331,5.739689784605746
23,6.229294545621591,5.735005921817984
24,6.319924866041962,5.813501572369873
25,6.237235662910681,6.041301566473711
26,6.243342928811339,6.04049528549609
27,6.24830284061415,6.040736731833174
28,6.254981189231674,6.036111802048236
29,5.93648210791234,5.816209009947213
30,5.93868912606712,5.740604296024
31,5.871986130189663,5.795127212715662
32,5.872393469021647,5.814299381335753
33,5.801812236955429,5.943595759656696
34,5.865792788148753,5.857796833267144
35,5.719727094610259,5.879649152474358
36,5.643382971643061,5.825769074935162
37,5.5646538286159455,5.754544091838312
38,5.567933976927659,5.808523324099377
39,5.739145179503344,5.783547979374717
40,5.883119626063513,5.809637653017458
41,5.8892268125399205,5.994437243245431
42,5.676875716929893,5.884387792858654
43,5.767163274813551,5.850952166038857
44,5.768670592030551,5.861096686347354
45,5.917726034587793,5.910794225524063
46,5.908180115972894,5.8441516037878545
47,5.968201480598184,5.967701835382549
48,5.9068882957854605,5.8648528666519715
49,5.9068882957854605,5.875312136219787
50,6.024504345490049,5.869122619354873
51,6.018907569523006,5.793008395529098
52,5.898069736281122,5.8659538057791005
53,5.901934983382253,5.710285544700385
54,5.894725429555528,5.70659767384503
55,6.111845806410822,5.750670923712082
56,6.105520464663054,5.770783640589093
57,6.092602194811349,5.851113251675497
58,6.090356517873804,5.971516224160776
59,6.090018822849641,5.788494904457711
60,6.15223723321203,5.803054381132683
61,6.081504425209332,5.882112264482592
62,5.994140488272787,5.802729270206766
