,Tororo,Soroti
0,6.456761407706958,6.372391869941915
1,6.453111980278505,6.370640577278522
2,6.449836239932684,6.5257701407738695
3,6.442643362535587,6.55629087456297
4,6.469031300719109,6.620651652486489
5,6.507661339637742,6.612455971419808
6,6.477932645340147,6.62002426828871
7,6.4453199176035705,6.561597107918934
8,6.278443357690105,6.006536024298302
9,5.800934381322347,6.227102299052104
10,5.873083414577452,6.066754399627313
11,6.11402732714971,6.062777709467196
12,6.116939383429103,6.116445190189492
13,6.055178433176196,6.083029640271961
14,6.051051941168544,6.02178675077425
15,6.018118854425363,5.971031784621603
16,6.010220017711317,6.033953602043412
17,5.913630953654796,6.070356963259788
18,5.916797074292741,6.040939431857416
19,5.9109774673226845,5.976565227858021
20,6.039056534663201,6.039056534663201
21,6.027762768991995,6.027762768991995
22,6.036262135538013,6.036262135538013
23,6.091974649613189,6.03517053161397
24,6.113401296028878,6.056934684361107
25,6.123687526544533,6.026148339663316
26,6.0788112493633095,6.02159335596944
27,5.983165356414574,5.9515600169992435
28,6.009249335412577,5.882789455730505
29,6.002530556671921,5.875485673277005
30,6.002289879121233,5.871391901387022
31,5.745752977828073,5.864783674282612
32,5.697583406584886,5.650923325118823
33,5.683569252393964,5.51894727269941
34,5.456911003318391,5.407377068196114
35,5.359217423231947,5.463761278983219
36,5.342731760733681,5.444781015087852
37,5.330285056581489,5.433142442021197
38,5.427338120575742,5.427338120575742
39,5.432864770555157,5.529888746837217
40,5.485091816319161,5.554323607888483
41,5.538205447338319,5.5847254629732115
42,5.634743279049029,5.63319648833073
43,5.6372070103993535,5.6372070103993535
44,5.642355403325902,5.639283204288931
45,5.715239782737073,5.6565719346482695
46,5.7182428600650255,5.6821378554229085
47,5.647990256047452,5.68966295244802
48,5.800345783830516,5.645760982008161
49,5.713946972747484,5.634376297180895
50,5.7100804765488915,5.630509800982303
51,5.739658169230076,5.617413138870241
52,5.770226819210122,5.694485193435976
53,5.895328803332569,5.691277529953199
54,5.895835917589341,5.766301865397439
55,5.83863497152082,5.833672182178691
