,Kamembe,Kigali
0,6.253961657448276,6.154956133672827
1,6.256260569164049,6.147860606432022
2,6.028757744299471,6.150192084788358
3,6.035900224312573,6.25945436893988
4,6.042149124237378,6.247702982524601
5,5.912548332844893,6.124835039259821
6,5.910030184163604,6.089406230727802
7,5.8567096340591664,6.049112543595321
8,5.8265208821570385,6.099758794000911
9,5.850416372191885,6.04281928172804
10,6.213751966719874,6.1628190976380814
11,6.343557628562012,6.099678178768624
12,6.421793008564208,6.104195661843307
13,6.332892258504377,6.108632012490093
14,6.342027918242158,6.114383234047157
15,6.02894453188407,6.1202778103196716
16,6.036645123684083,6.128160232519856
17,6.157803968623679,6.136611746278036
18,6.101489798198932,6.136377057199373
19,6.040736731833174,6.1356656687811855
20,6.15669204232568,6.116800713298378
21,6.15137491065437,6.127755484831489
22,6.07547460999588,6.141389938410206
23,6.0187983293283125,6.092001733351607
24,6.030237548928692,6.080600658762584
25,5.958000440859244,6.114505725023713
26,5.9913282258916665,6.122207800467896
27,5.8557816710677155,6.089497161307324
28,5.991665752061717,6.086782900304782
29,5.985784853385141,6.107145710389409
30,5.8673270045932275,6.1185064163344025
31,5.80584398493009,6.007221894000218
32,5.741656787688915,5.999235081840465
33,5.6895133643591445,5.941793509760009
34,6.040922264041188,5.940086642981652
35,6.01458158982066,6.048587957805855
36,5.994320906492115,6.206653541702109
37,5.715462431994093,6.261103475445449
38,5.818640016130446,6.2621325198278495
39,6.316533601860256,6.25983825818371
40,6.31920672423058,6.31762819193753
41,6.32505006800594,6.343771363614148
42,6.3234764769334815,6.4081191200875605
43,6.331334430262817,6.403764268107632
44,6.167258379912178,6.12003525298096
45,6.071033814026753,6.261116503080075
46,5.98847421475149,6.103828296092471
47,5.9215112981320805,6.100748812389074
48,5.827942054429041,6.2198476327515735
49,5.955982246065133,6.245046106770489
50,6.209730028395985,6.267030882233326
51,6.158312673835638,6.404836673793912
52,5.983882922825795,6.343115958118999
53,5.98320838135396,6.253105021372525
54,5.853894515423259,6.25039826009862
