,Mombasa,Makueni
0,6.691192740043291,6.626356644137863
1,6.5965392641123,6.492915613849857
2,6.603517199710777,6.641520506286292
3,6.6059231660199265,6.644353091804366
4,6.59809400287582,6.6375499649916865
5,6.577943869308041,6.747107341524484
6,6.492385998860153,6.743936973564398
7,6.489935121849543,6.740776625080254
8,6.485283742095189,6.736519028276414
9,6.485608908005724,6.736132197004858
10,6.476033686296057,6.734970828952519
11,6.483603857809086,6.735470924954569
12,6.481205495691599,6.731809444368906
13,6.729262876463442,6.729262876463442
14,6.7246025457714955,6.7246025457714955
15,6.717736287086098,6.718291072121132
16,6.713376658101881,6.655662842970232
17,6.551727346650982,6.649517012937241
18,6.546415361104011,6.640690267577683
19,6.634839946593034,6.635728177591476
20,6.658901150497279,6.666327634215451
21,6.650398343271557,6.662934119966538
22,6.7722955291145315,6.656900779427753
23,6.864786495515487,6.656551736270831
24,6.890342916202633,6.645415885178283
25,6.876239074259295,6.7226776696406025
26,6.8291466611312694,6.735312768732915
27,6.790673700251545,6.731601410229312
28,6.876136802032304,6.736595585847204
29,6.874203250480176,6.822605410156545
30,6.7449322539958025,6.791174646086436
31,6.548042844548321,6.7472407022661764
32,6.626277773893939,6.637977151167915
33,6.739613538713513,6.632377649562559
34,6.744534192433729,6.640362838557079
35,6.637289944255953,6.644808522838236
36,6.6604579928244885,6.649234530454639
37,6.6421935094100535,6.7583281582099595
38,6.641065433891629,6.75592356125053
39,6.639933469508058,6.756570373233819
40,6.63668909210088,6.7518580805548085
41,6.528345797933935,6.749193722682037
42,6.5189016141027984,6.742619896426794
43,6.4874704854101575,6.68312774154423
44,6.482636796460079,6.56899436499229
45,6.5174922785628135,6.581246793388176
46,6.558296429881377,6.619729416560388
47,6.610022196494444,6.61955943568563
48,6.603315040793193,6.672984121029003
49,6.48084053462889,6.695339231698333
50,6.4810681557712675,6.716727515017308
51,6.477527063248365,6.607672225917502
52,6.490754626020756,6.5494704299901585
53,6.428200284598085,6.426866061584948
54,6.289574703000578,6.49596328587717
55,6.212359318307083,6.499206317641442
56,6.214149555482554,6.532149394468324
57,6.229110858361705,6.499874846258469
58,6.222394919139031,6.4947969090400335
59,6.200813335195003,6.456746709332204
60,6.20312242554521,6.459495904087616
61,6.206344816844244,6.464971722750536
62,6.198849480123901,6.486953048893829
63,6.187112796827379,6.49559429914353
64,6.13506405352181,6.5041615174591
65,6.187202434724281,6.535210487807658
66,6.343234545762916,6.563966289890722
67,6.342045789938428,6.591918256902433
68,6.350872496844796,6.546032107589777
69,6.538350743312149,6.5957691844564295
70,6.5318975236804,6.589250736391131
71,6.460883859100299,6.583101491824548
72,6.456334821995906,6.679103068370451
73,6.5564785358549775,6.671376290703991
74,6.569547085641163,6.654523873933005
75,6.566436402953887,6.670686424327686
76,6.564438980404133,6.669688502111016
77,6.554031096916307,6.659167623324681
78,6.650210667962618,6.7103795942779705
79,6.737945960721086,6.759096174402977
