,Kasese,Ruhengeri
0,6.6156565153423,6.50562523792878
1,6.538369229238757,6.503047143580043
2,6.3094171973905935,6.483406056824133
3,6.343958585768376,6.4580201100520975
4,6.346395025516676,6.457456440841647
5,6.339563748316634,6.456892453729019
6,6.368854314887885,6.462072303071183
7,6.364867492656624,6.48201783347946
8,6.302427584043952,6.4709955425833625
9,6.308085776465766,6.488166369510057
10,6.304022708317681,6.463807508104889
11,6.294245815492255,6.458447379181679
12,6.267673380011114,6.447350931226407
13,6.290076460134158,6.438136821836177
14,6.286970364640864,6.423036955170153
15,6.28124928085889,6.3690115594171015
16,6.275131015811402,6.356456231886373
17,6.269905425364633,6.331652474601729
18,6.2491060871399045,6.559723141484033
19,6.227078885024721,6.555754696735026
20,6.294226504471901,6.553229528387629
21,6.288217806451714,6.551947251484816
22,6.288004757684856,6.553847944347396
23,6.287791754298108,6.517081920501789
24,6.285826489962831,6.52435274132019
25,6.279907416560918,6.522183161762407
26,6.276007303184382,6.5201018861253015
27,6.218606555244162,6.515515485816363
28,6.262058753777611,6.518057033817434
29,6.257534701020181,6.521250074688369
30,6.310628435613145,6.526788713120543
31,6.347297581401177,6.528241392978615
32,6.3668608091521115,6.527121795876571
33,6.369282154496541,6.270001764617799
34,6.369988885086579,6.269718449715492
35,6.407006548223583,6.2661675203830525
36,6.403286631758883,6.4379223878830025
37,6.395805026332744,6.423847100351146
38,6.432204705577433,6.4156784521236645
39,6.418592104610791,6.418378881990462
40,6.362657981567863,6.428153102377929
41,6.252072422680107,6.442110231792247
42,6.247963754674888,6.447115653821153
43,6.15000395148156,6.446658961568394
44,6.310346212392294,6.44550278363884
45,6.336602604861716,6.66639972299033
46,6.147625904162566,6.665556242267333
47,6.090058919852007,6.653528021350251
48,5.6507205392182005,6.577327017651522
49,6.328376524008624,6.581307349783808
50,6.299968870908157,6.588628186049293
51,6.3294875493514295,6.443662159889547
52,6.3329991274991535,6.30853676777172
53,6.263107440216855,6.215869930156011
54,6.187961368056826,6.216417855764743
55,6.22296592281651,6.221521898296405
56,6.301859439573603,6.223895348136615
57,6.369328020611899,6.558875204169727
58,6.228904854325893,6.558483377216077
59,6.057161197187559,6.3133790251117405
60,6.405194907341884,6.31920672423058
61,6.371176185479554,6.32505006800594
62,6.294808393059292,6.357588311440344
63,6.328344255623482,6.354537327342481
64,6.287738756600155,6.402870006198416
65,6.204561901601647,6.228662758230336
66,6.205810891938681,6.305736287337746
67,6.143667001228802,6.293313736597789
68,6.235529533008196,6.311894659943936
69,6.357432088559859,6.359232513843745
70,6.308781135544713,6.354311257207092
71,6.341989667879001,6.34346772741762
72,6.382780515227405,6.365224448873203
73,6.344497805944682,6.372879909203983
74,6.368670991956794,6.338091346842648
