,Mbale,Masindi
0,6.125694585280951,6.064285957152308
1,6.097763169405871,6.070042738305509
2,6.069029117085975,6.068293011053473
3,6.149586336358325,6.054682991384673
4,5.990600297611413,6.056735343862079
5,6.052661965810316,6.052104707506678
6,6.090790989056548,6.052130773563463
7,6.1629465457416766,6.10306056731719
8,6.1590428325528235,6.095489048077792
9,6.076076948891097,6.077143615658899
10,6.075212876056446,6.173519819667611
11,6.151910282291645,6.142057985848633
12,6.183377283779265,6.133074570711704
13,6.327378349052819,6.127784079959406
14,6.325294744437323,6.124489577113207
15,6.321873636062836,6.121292687066978
16,6.313997973116691,6.113643140753075
17,6.313607988105986,6.161144161349006
18,6.4301943469023986,6.202184605937016
19,6.436508681502148,6.354372984576003
20,6.2258225973734085,6.361349334856827
21,6.22956876614927,6.124503715111705
22,6.2275476341741385,6.122483898456167
23,5.941103502770316,6.123622512423043
24,5.936110990867579,6.118333395413176
25,5.933629195808209,6.116939383429103
26,5.928200534367122,6.1101261299601
27,5.989968378186867,6.108122953880963
28,5.985112557957192,6.104634076604516
29,5.974660715674831,6.09294639019578
30,5.914833599620557,6.096754435110813
31,5.915600186058894,6.096423615231827
32,6.198809498536087,6.093598919155624
33,6.201628316886867,5.913047367970069
34,6.191351789549613,5.902456860672624
35,5.912089301782857,5.842409381144868
36,5.909653092819234,5.839799265618317
37,5.906063544885857,5.839995909933781
38,5.900059830945873,5.902478211810154
39,5.896287447650069,5.828507432588327
40,5.8876329296930106,5.8876329296930106
41,5.882789455730505,5.8852374373691445
42,5.875485673277005,5.91239643131641
43,6.152141484668644,6.287738756600155
44,6.158207792230096,6.253849702009266
45,6.155978518190804,6.379122069505014
46,6.144588235748122,6.305033192846769
47,6.14072173954953,6.343399460271448
48,6.133180094494065,6.350019156170734
49,6.346750768733793,6.386200734524484
