,Kasese,Soroti
0,6.2314759892196685,5.632550871001215
1,6.200955643093525,5.791608808453554
2,6.09914651097741,5.862824867282645
3,6.13484572968216,5.927802490107859
4,6.103526461190315,5.919009075587126
5,6.215155640961727,5.822576736495707
6,6.225378646200745,5.7967794350841455
7,6.226016364544902,5.630280035160463
8,6.228437709889332,5.430325348723161
9,6.229377816873995,5.407508770743049
10,6.22409046109107,5.30802271951776
11,6.22066563825476,5.366866266073148
12,6.213780602210712,5.41348878419944
13,6.280316604863661,5.324971673865417
14,6.246378937137598,5.342936347741292
15,6.199506340881629,5.289075440965589
16,6.151358447078277,5.154315200331731
17,6.0930990441139725,5.076987976957607
18,6.039056534663201,5.1529607047350146
19,5.763362171362772,5.214152304588466
20,5.842409381144868,5.149262200584922
21,5.8423799122118085,4.993362360945079
22,5.807282233814959,5.187258267711711
23,5.61053185190278,5.039616508713424
24,5.563709162228571,5.111724038485514
25,5.636013349760887,5.029877546190572
26,5.524629599794531,4.831482419234586
27,5.383910988895467,4.829302722690667
28,5.453186604227408,4.767474402154981
29,5.176079206531437,4.770614098423273
30,5.628345580121404,4.649584580173736
31,5.693190550270857,4.637137876021543
32,5.7981176706960165,4.630512510540956
33,5.902868399800893,4.6322584376804645
34,5.77411707231741,4.8908326369114254
35,5.491199404962388,4.898050796918883
36,5.8569590430692235,4.89896928202732
37,5.860350561713563,4.853675768371139
38,5.724754935092968,4.862754414789935
39,5.858340626377746,4.901099290890496
40,5.957985470227687,5.029341970386531
41,5.978801689396265,5.109427877309861
42,5.96338541107502,5.1775794000323705
43,5.920523449914592,5.165598909658404
44,6.033927825468742,5.193098072738031
45,6.028024938730174,5.210398843775247
46,6.074351221965816,5.269517842096371
47,6.014149721801372,5.265551236705213
48,6.071123447725916,5.523688078347364
49,6.215646277211257,5.322017027050325
50,6.096919741577207,5.532984292497268
