,Kigali,Kamembe
0,6.154956133672827,6.253961657448276
1,6.147860606432022,6.256260569164049
2,6.150192084788358,6.028757744299471
3,6.25945436893988,6.035900224312573
4,6.247702982524601,6.042149124237378
5,6.124835039259821,5.912548332844893
6,6.089406230727802,5.910030184163604
7,6.049112543595321,5.8567096340591664
8,6.099758794000911,5.8265208821570385
9,6.04281928172804,5.850416372191885
10,6.1628190976380814,6.213751966719874
11,6.099678178768624,6.343557628562012
12,6.104195661843307,6.421793008564208
13,6.108632012490093,6.332892258504377
14,6.114383234047157,6.342027918242158
15,6.1202778103196716,6.02894453188407
16,6.128160232519856,6.036645123684083
17,6.136611746278036,6.157803968623679
18,6.136377057199373,6.101489798198932
19,6.1356656687811855,6.040736731833174
20,6.116800713298378,6.15669204232568
21,6.127755484831489,6.15137491065437
22,6.141389938410206,6.07547460999588
23,6.092001733351607,6.0187983293283125
24,6.080600658762584,6.030237548928692
25,6.114505725023713,5.958000440859244
26,6.122207800467896,5.9913282258916665
27,6.089497161307324,5.8557816710677155
28,6.086782900304782,5.991665752061717
29,6.107145710389409,5.985784853385141
30,6.1185064163344025,5.8673270045932275
31,6.007221894000218,5.80584398493009
32,5.999235081840465,5.741656787688915
33,5.941793509760009,5.6895133643591445
34,5.940086642981652,6.040922264041188
35,6.048587957805855,6.01458158982066
36,6.206653541702109,5.994320906492115
37,6.261103475445449,5.715462431994093
38,6.2621325198278495,5.818640016130446
39,6.25983825818371,6.316533601860256
40,6.31762819193753,6.31920672423058
41,6.343771363614148,6.32505006800594
42,6.4081191200875605,6.3234764769334815
43,6.403764268107632,6.331334430262817
44,6.12003525298096,6.167258379912178
45,6.261116503080075,6.071033814026753
46,6.103828296092471,5.98847421475149
47,6.100748812389074,5.9215112981320805
48,6.2198476327515735,5.827942054429041
49,6.245046106770489,5.955982246065133
50,6.267030882233326,6.209730028395985
51,6.404836673793912,6.158312673835638
52,6.343115958118999,5.983882922825795
53,6.253105021372525,5.98320838135396
54,6.25039826009862,5.853894515423259
