,Masindi,Mbale
0,5.275479556124178,5.380096300829159
1,5.112551408384965,5.315108037028888
2,5.193232940612374,5.24560092612969
3,5.262470614036932,5.28347200357132
4,5.291061483717872,5.291061483717872
5,5.3013633293406315,5.334696527843346
6,5.488427863115462,5.492372641406479
7,5.501279277433299,5.5871529054176285
8,5.500265656213766,5.55801951760426
9,5.485513885498625,5.518558680276081
10,5.4884566541889885,5.458544154826388
11,5.453558019490573,5.426834949349819
12,5.35787309871949,5.404544618028637
13,5.351244553914868,5.454821743197266
14,5.47078410184427,5.529090150862232
15,5.462935610364402,5.532587026491551
16,5.445999762404194,5.554161960903257
17,5.546659148996874,5.6617284787816615
18,5.552289159742523,5.73312151298501
19,5.544493151148241,5.757206829097955
20,5.549632479119975,5.732843320098814
21,5.54674686835175,5.704078414783624
22,5.595701695395968,5.685238653062714
23,5.642371381028475,5.687940930497865
24,5.635845373847415,5.722318971851242
25,5.675177687462979,5.874231226657774
26,5.868849431235698,5.999119475863482
27,5.897916187093915,5.996356259907167
28,5.893859837756065,5.991297558814167
29,5.886718728325191,5.983435180334269
30,5.959743895809117,6.022404210803276
31,6.00134660082542,5.938288464858283
32,6.005981854153889,5.629472606775861
33,5.535290529329386,5.373399411927151
34,5.312198590938724,5.372561740665815
35,5.368581761113166,5.368581761113166
36,5.368956130992608,5.526976439104388
37,5.41895718941226,5.567445339952891
38,5.3563303703594904,5.467556005469715
39,5.294200015198664,5.294200015198664
40,5.280381673081202,5.399799209635835
41,5.1520064984226215,5.221686419060612
42,5.074272492658195,5.151747804826485
43,5.074221723464717,5.147636934939538
44,5.078458177437094,5.1529607047350146
45,5.068819317163852,5.138928883350879
46,5.074360892411804,5.149262200584922
47,5.149232731651864,5.149232731651864
48,5.146848729373835,5.144268082780344
49,5.139302426889725,5.139302426889725
50,5.132759470328324,5.132759470328324
51,5.126191201696839,5.126191201696839
52,5.123795709372973,5.123795709372973
53,5.116156585835759,5.039616508713424
54,5.111724038485514,5.106418986255821
55,5.093877129023532,5.088471710456624
56,5.072644476051474,5.072644476051474
57,5.067713746135665,5.067713746135665
58,4.544330850840772,4.852632210495289
59,4.492688200916857,4.576458083982315
60,4.478766847861266,4.603064564538843
61,4.464766650080757,4.637137876021543
62,4.491005807556552,4.630512510540956
63,4.516574038681002,4.562665145881269
64,4.641371777279842,4.74422916271955
65,4.752465479950549,4.752465479950549
66,4.760818943546503,4.943140500340458
67,4.853675768371139,4.944059829839408
68,4.86609331605545,4.949208222765956
69,4.942049894503591,5.127453117834954
70,4.946942438619464,5.131306897043219
71,5.033716055574165,5.135136234020068
72,5.23877496105929,5.279048860197229
73,5.227376269354647,5.289896626335981
74,5.223509773156054,5.286030130137388
75,5.303592620673194,5.27784012457078
76,5.5467516479293515,5.61253317730652
77,5.564680694997345,5.609203151428446
78,5.520292489346226,5.6081538451375605
