,Makueni,Machakos
0,5.672257771114077,5.672257771114077
1,5.607201430095136,5.658435682791919
2,5.462824809370439,5.644468629777895
3,5.333949816285504,5.2372561914830325
4,5.349462241371606,5.2546044479129295
5,5.481943663473394,5.2568218721470785
6,5.472726447798502,5.251565057688284
7,5.467497122992928,5.467497122992928
8,5.462340657061212,5.537016488401119
9,5.536619845038593,5.537539385333272
10,5.533469158949079,5.533469158949079
11,5.533082327677524,5.532418680015416
12,5.5313670964152335,5.5313670964152335
13,5.567668428834388,5.529654802134344
14,5.564559587113302,5.562680974575331
15,5.559682602097261,5.594651199935008
16,5.624883450128195,5.624883450128195
17,5.619678783453023,5.619678783453023
18,5.614208968142071,5.614208968142071
19,5.607915721583421,5.607079950536025
20,5.601256645229004,5.601256645229004
21,5.593780938502481,5.592101676982761
22,5.723653190756857,5.571691493926981
23,5.852145456585041,5.71808494893371
24,5.845122746289084,5.84575867635821
25,5.844499814945302,5.844499814945302
26,5.834345209659806,5.834345209659806
27,5.824267363044296,5.823634251278926
28,6.04216558817297,6.04216558817297
29,6.038454229669367,6.038454229669367
30,6.139219946114761,6.139219946114761
31,6.135997253363657,6.135997253363657
32,6.144547481161383,6.145474694950575
33,6.063235281664326,6.054093521706231
34,5.827897636831899,5.827897636831899
35,5.821020721157123,5.821020721157123
36,5.829008084019791,5.830917088735715
37,5.748807832035669,5.8043098052638795
38,5.461348591226512,5.526340729972224
39,5.533103930409219,5.556322220511225
40,5.493764995402652,5.522802048257198
41,5.488603902297297,5.488603902297297
42,5.519252533139814,5.519252533139814
43,5.478688512148342,5.478688512148342
44,5.482449361196043,5.511094959273008
45,5.326627938133827,5.365619232099011
46,5.329098957286026,5.329098957286026
47,5.1552346087851975,5.246206386990925
48,5.1597098708283635,5.272187854255054
49,5.164205250909102,5.164205250909102
50,5.174496609311817,5.162662151664815
51,5.161121429907578,5.15634815115492
52,5.156043492689143,5.102240786696167
53,5.241962988902053,5.284522603320849
54,5.288499750771752,5.201488373782122
55,5.288858747214537,5.245575859318381
56,5.289217614825124,5.289217614825124
57,5.327083827291157,5.362731166021395
58,5.31777835669995,5.427156946595323
59,5.308385480337343,5.354255934403439
60,5.310717953250545,5.3505638617977445
61,5.311860916860842,5.351549122967573
62,5.313002575596607,5.352533414353242
63,5.35619723604966,5.360036012356825
64,5.315277230296298,5.3523546480791975
65,5.309640517859576,5.348555934109249
66,5.301725070564156,5.340792538755065
67,5.252987213063888,5.0706656562699335
68,5.469077126936084,5.469077126936084
69,5.3670513864582405,5.329452972901233
70,5.620864299829009,5.620864299829009
71,5.618866877279254,5.618866877279254
72,5.608769295986667,5.617377670523267
73,5.600296329069907,5.607528757326522
74,5.591750957061961,5.597581877372754
75,5.636546245502639,5.630953741355395
76,5.679420655000553,5.663247795754952
77,5.72055307994949,5.72055307994949
78,5.742961432185641,5.717611532290115
79,5.7166284147808275,5.716568792487795
80,5.68958317226612,5.71552496424412
