,Busia,Tororo
0,6.318462984402514,6.191026517045488
1,6.337440950762077,6.270550272921105
2,6.316188099802063,6.344213214797799
3,6.312043019468261,6.33963097598709
4,6.3872553915217,6.3912827831916825
5,6.358921285335857,6.3362568312128476
6,6.318066477928407,6.079721765282146
7,6.292744691025658,6.134167266475048
8,6.364133904030523,6.290847287159116
9,6.233923744733619,6.290276681284751
10,6.283766709015299,6.294792179027007
11,6.2642628327982495,6.436160547191164
12,6.279482992071245,6.518242265563295
13,6.318338482369976,6.514882438844119
14,6.419610623769823,6.547504969030527
15,6.4160879355427145,6.541587156469973
16,6.319295131018286,6.441994004612874
17,6.168196797178696,6.374409866289913
18,6.188487988431572,6.245436340302469
19,6.261066817385763,6.238087458923326
20,6.318982538170334,6.297315023835952
21,6.34400489913866,6.380702644998204
22,6.426697114685671,6.423005711453711
23,6.4436084680391446,6.463255465422941
24,6.5005031950970995,6.456406483124705
25,6.536507788619762,6.455593811015265
26,6.542105035181455,6.558496210449027
27,6.573984859087074,6.555653119439313
28,6.566451950177369,6.586390305376328
29,6.626442213394548,6.645468105605275
30,6.320739745217466,6.477932645340147
31,6.2572799749626205,6.223600867954746
32,6.1697472348898375,6.124503715111705
33,6.304228302247334,6.126432570911583
34,6.324607257103773,6.22804477957373
35,6.366576585153397,6.270286038406951
36,6.384156553993323,6.316891171599328
37,6.391725383085202,6.356367204467341
38,6.376299531708487,6.396547692538435
39,6.340108240376205,6.392812303866773
40,6.173066404506129,6.294347746024714
41,6.055848936770209,5.978282284313611
42,6.0010634591662155,5.9514758358243025
43,5.998788364642731,6.036528692625579
44,6.138586130010234,6.097564753573258
45,6.13140875358258,6.139101099205735
46,6.139071629404233,6.199470848312016
47,5.902397921938062,5.9749443426336715
48,5.972560340355643,5.970300452388205
49,5.971310039734474,6.025080533902487
50,5.929703444569913,5.960901815425774
51,5.982053627561884,5.9515600169992435
52,5.944566815426748,5.9491645246753775
53,6.015461771344169,5.939870241677762
54,5.970295975445936,5.938402611669982
55,5.730182953450687,5.636013349760887
56,5.732268964572776,5.696111735973429
57,5.701268829493364,5.683569252393964
58,5.735724872959848,5.601992535895786
59,5.732889943539251,5.800758587813922
60,5.756427367978361,5.788688230196583
61,5.752279466640863,5.9064301464681215
62,5.835325298116617,5.896394331465438
63,5.843348709775264,5.902868399800893
64,5.717511210095894,5.701762853127754
65,5.6865081572831535,5.6229466757934095
66,5.760906013162644,5.634743279049029
67,5.856639982317028,5.6372070103993535
68,5.844419438849057,5.642355403325902
69,5.912407847648022,5.863266744713802
70,5.9005644168589795,5.871785452308936
71,5.95560904299699,5.870525719778315
72,6.019313963734245,6.050212405285479
73,6.039841405289059,6.039841405289059
74,6.08777932027933,6.1388784210552405
75,6.103159078239208,6.133180094494065
76,6.345259344147123,6.266086904446707
77,6.316250169677425,6.378677568257577
78,6.258334989814062,6.261581745912932
79,6.12786287825786,6.262089117465058
80,6.065788822982034,6.242826351629383
